M154;(OSTEO)ARTROSIS EROSIVA|
O060;ABORTO NO ESPECIFICADO INCOMPLETO, COMPLICADO CON INFECCION GENITAL Y PELVIANA|
O061;ABORTO NO ESPECIFICADO INCOMPLETO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA.|
O065;ABORTO NO ESPECIFICADO,  COMPLETO O NO ESPECIFICADO, COMPLICADO CON INFECCION GENITAL Y PELVIANA|
O067;ABORTO NO ESPECIFICADO, COMPLETO O NO ESPECIFICADO, COMPLICADO POR EMBOLIA|
O066;ABORTO NO ESPECIFICADO, COMPLETO O NO ESPECIFICADO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA|
O068;ABORTO NO ESPECIFICADO, COMPLETO O NO ESPECIFICADO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO |
O069;ABORTO NO ESPECIFICADO, COMPLETO O NO ESPECIFICADO, SIN COMPLICACION|
O062;ABORTO NO ESPECIFICADO, INCOMPLETO, COMPLICADO POR EMBOLIA|
O063;ABORTO NO ESPECIFICADO, INCOMPLETO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS|
O064;ABORTO NO ESPECIFICADO, INCOMPLETO, SIN COMPLICACION|
O021;ABORTO RETENIDO|
K031;ABRASION DE LOS DIENTES|
A066;ABSCESO AMEBIANO DEL CEREBRO (G07*)|
A064;ABSCESO AMEBIANO DEL HIGADO|
A065;ABSCESO AMEBIANO DEL PULMON (J99.8*)|
K610;ABSCESO ANAL|
K612;ABSCESO ANORRECTAL|
B431;ABSCESO CEREBRAL FEOMICOTICO|
L023;ABSCESO CUTANEO, FURUNCULO Y CARBUNCO DE GLUTEOS|
L024;ABSCESO CUTANEO, FURUNCULO Y CARBUNCO DE MIEMBRO|
L028;ABSCESO CUTANEO, FURUNCULO Y CARBUNCO DE OTROS SITIOS|
L029;ABSCESO CUTANEO, FURUNCULO Y CARBUNCO DE SITIO NO ESPECIFICADO|
L021;ABSCESO CUTANEO, FURUNCULO Y CARBUNCO DEL CUELLO|
L022;ABSCESO CUTANEO, FURUNCULO Y CARBUNCO DEL TRONCO|
K113;ABSCESO DE GLANDULA SALIVAL|
M710;ABSCESO DE LA BOLSA SINOVIAL|
N751;ABSCESO DE LA GLANDULA DE BARTHOLIN|
N412;ABSCESO DE LA PROSTATA|
M650;ABSCESO DE VAINA TENDINOSA|
D733;ABSCESO DEL BAZO|
K750;ABSCESO DEL HIGADO|
K630;ABSCESO DEL INTESTINO|
J853;ABSCESO DEL MEDIASTINO|
H600;ABSCESO DEL OIDO EXTERNO|
J851;ABSCESO DEL PULMON CON NEUMONIA|
J852;ABSCESO DEL PULMON SIN NEUMONIA|
E321;ABSCESO DEL TIMO|
G062;ABSCESO EXTRADURAL Y SUBDURAL, NO ESPECIFICADO|
K614;ABSCESO INTRAESFINTERIANO|
K613;ABSCESO ISQUIORRECTAL|
J36X;ABSCESO PERIAMIGDALINO|
K046;ABSCESO PERIAPICAL CON FISTULA|
K047;ABSCESO PERIAPICAL SIN FISTULA|
K611;ABSCESO RECTAL|
N151;ABSCESO RENAL Y PERIRRENAL|
J390;ABSCESO RETROFARINGEO Y PARAFARINGEO|
N340;ABSCESO URETRAL|
N764;ABSCESO VULVAR|
G060;ABSCESO Y GRANULOMA INTRACRANEAL|
G07X;ABSCESO Y GRANULOMA INTRACRANEAL E INTRARRAQUIDEO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE|
G061;ABSCESO Y GRANULOMA INTRARRAQUIDEO|
B432;ABSCESO Y QUISTE SUBCUTANEO FEOMICOTICO|
J340;ABSCESO, FURUNCULO Y CARBUNCO DE LA NARIZ|
F55X;ABUSO DE SUSTANCIAS QUE NO PRODUCEN DEPENDENCIA|
T741;ABUSO FISICO|
T743;ABUSO PSICOLOGICO|
T742;ABUSO SEXUAL|
K220;ACALASIA DEL CARDIAS|
B601;ACANTAMEBIASIS|
L83X;ACANTOSIS NIGRICANS|
V959;ACCIDENTE DE AERONAVE NO ESPECIFICADA, CON OCUPANTE LESIONADO|
V969;ACCIDENTE DE AERONAVE SIN MOTOR NO ESPECIFICADA, CON OCUPANTE LESIONADO|
V961;ACCIDENTE DE ALA DELTA, CON OCUPANTE LESIONADO|
V90X;ACCIDENTE DE EMBARCACION QUE CAUSA AHOGAMIENTO Y SUMERSION|
V906;ACCIDENTE DE EMBARCACION QUE CAUSA AHOGAMIENTO Y SUMERSION, BALSA INFLABLE (SIN MOTOR)|
V901;ACCIDENTE DE EMBARCACION QUE CAUSA AHOGAMIENTO Y SUMERSION, BARCO DE PASAJEROS|
V900;ACCIDENTE DE EMBARCACION QUE CAUSA AHOGAMIENTO Y SUMERSION, BARCO MERCANTE|
V902;ACCIDENTE DE EMBARCACION QUE CAUSA AHOGAMIENTO Y SUMERSION, BOTE DE PESCA|
V905;ACCIDENTE DE EMBARCACION QUE CAUSA AHOGAMIENTO Y SUMERSION, CANOA O KAYAK|
V907;ACCIDENTE DE EMBARCACION QUE CAUSA AHOGAMIENTO Y SUMERSION, ESQUI ACUATICO|
V903;ACCIDENTE DE EMBARCACION QUE CAUSA AHOGAMIENTO Y SUMERSION, OTRO VEHICULO ACUATICO CON MOTOR|
V908;ACCIDENTE DE EMBARCACION QUE CAUSA AHOGAMIENTO Y SUMERSION, OTRO VEHICULO ACUATICO SIN MOTOR|
V909;ACCIDENTE DE EMBARCACION QUE CAUSA AHOGAMIENTO Y SUMERSION, VEHICULO ACUATICO NO ESPECIFICADO|
V904;ACCIDENTE DE EMBARCACION QUE CAUSA AHOGAMIENTO Y SUMERSION, VELERO|
V91X;ACCIDENTE DE EMBARCACION QUE CAUSA OTROS TIPOS DE TRAUMATISMO|
V916;ACCIDENTE DE EMBARCACION QUE CAUSA OTROS TIPOS DE TRAUMATISMO, BALSA INFLABLE (SIN MOTOR)|
V911;ACCIDENTE DE EMBARCACION QUE CAUSA OTROS TIPOS DE TRAUMATISMO, BARCO DE PASAJEROS|
V910;ACCIDENTE DE EMBARCACION QUE CAUSA OTROS TIPOS DE TRAUMATISMO, BARCO MERCANTE|
V912;ACCIDENTE DE EMBARCACION QUE CAUSA OTROS TIPOS DE TRAUMATISMO, BOTE DE PESCA|
V915;ACCIDENTE DE EMBARCACION QUE CAUSA OTROS TIPOS DE TRAUMATISMO, CANOA O KAYAK|
V917;ACCIDENTE DE EMBARCACION QUE CAUSA OTROS TIPOS DE TRAUMATISMO, ESQUI ACUATICO|
V913;ACCIDENTE DE EMBARCACION QUE CAUSA OTROS TIPOS DE TRAUMATISMO, OTRO VEHICULO ACUATICO CON MOTOR|
V918;ACCIDENTE DE EMBARCACION QUE CAUSA OTROS TIPOS DE TRAUMATISMO, OTRO VEHICULO ACUATICO SIN MOTOR|
V919;ACCIDENTE DE EMBARCACION QUE CAUSA OTROS TIPOS DE TRAUMATISMO, VEHICULO ACUATICO NO ESPECIFICADO|
V914;ACCIDENTE DE EMBARCACION QUE CAUSA OTROS TIPOS DE TRAUMATISMO, VELERO|
V960;ACCIDENTE DE GLOBO AEROSTATICO, CON OCUPANTE LESIONADO|
V950;ACCIDENTE DE HELICOPTERO CON OCUPANTE LESIONADO|
V954;ACCIDENTE DE NAVE ESPACIAL, CON OCUPANTE LESIONADO|
V968;ACCIDENTE DE OTRAS AERONAVES SIN MOTOR, CON OCUPANTE LESIONADO|
V958;ACCIDENTE DE OTRAS AERONAVES, CON OCUPANTE LESIONADO|
V952;ACCIDENTE DE OTROS VEHICULOS AEREOS DE ALAS FIJAS, PRIVADOS, CON OCUPANTE LESIONADO|
V962;ACCIDENTE DE PLANEADOR (SIN MOTOR), CON OCUPANTE LESIONADO|
V951;ACCIDENTE DE PLANEADOR ULTRA LIVIANO, MICRO LIVIANO O MOTORIZADO, CON OCUPANTE LESIONADO|
V99X;ACCIDENTE DE TRANSPORTE NO ESPECIFICADO|
V953;ACCIDENTE DE VEHICULO AEREO DE ALAS FIJAS, COMERCIAL, CON OCUPANTE LESIONADO|
V93X;ACCIDENTE EN EMBARCACION, SIN ACCIDENTE A LA EMBARCACION, QUE NO CAUSA AHOGAMIENTO O SUMERSION|
V930;ACCIDENTE EN UNA EMBARCACION, SIN ACCIDENTE A LA EMBARCACION, QUE NO CAUSA AHOGAMIENTO O SUMERSION,|
V931;ACCIDENTE EN UNA EMBARCACION, SIN ACCIDENTE A LA EMBARCACION, QUE NO CAUSA AHOGAMIENTO O SUMERSION,|
V932;ACCIDENTE EN UNA EMBARCACION, SIN ACCIDENTE A LA EMBARCACION, QUE NO CAUSA AHOGAMIENTO O SUMERSION,|
V933;ACCIDENTE EN UNA EMBARCACION, SIN ACCIDENTE A LA EMBARCACION, QUE NO CAUSA AHOGAMIENTO O SUMERSION,|
V934;ACCIDENTE EN UNA EMBARCACION, SIN ACCIDENTE A LA EMBARCACION, QUE NO CAUSA AHOGAMIENTO O SUMERSION,|
V935;ACCIDENTE EN UNA EMBARCACION, SIN ACCIDENTE A LA EMBARCACION, QUE NO CAUSA AHOGAMIENTO O SUMERSION,|
V936;ACCIDENTE EN UNA EMBARCACION, SIN ACCIDENTE A LA EMBARCACION, QUE NO CAUSA AHOGAMIENTO O SUMERSION,|
V937;ACCIDENTE EN UNA EMBARCACION, SIN ACCIDENTE A LA EMBARCACION, QUE NO CAUSA AHOGAMIENTO O SUMERSION,|
V938;ACCIDENTE EN UNA EMBARCACION, SIN ACCIDENTE A LA EMBARCACION, QUE NO CAUSA AHOGAMIENTO O SUMERSION,|
V939;ACCIDENTE EN UNA EMBARCACION, SIN ACCIDENTE A LA EMBARCACION, QUE NO CAUSA AHOGAMIENTO O SUMERSION,|
I64X;ACCIDENTE VASCULAR ENCEFALICO AGUDO, NO ESPECIFICADO COMO HEMORRAGICO O ISQUEMICO|
R824;ACETONURIA|
R12X;ACIDEZ|
T573;ACIDO CIANHIDRICO|
T408;ACIDO LISERGICO [LSD]|
T542;ACIDOS CORROSIVOS Y SUSTANCIAS ACIDAS SIMILARES|
E872;ACIDOSIS|
P740;ACIDOSIS METABOLICA TARDIA DEL RECIEN NACIDO|
L701;ACNE CONGLOBADO|
L705;ACNE EXCORIADO DE LA MUJER JOVEN|
L704;ACNE INFANTIL|
L730;ACNE QUELOIDE|
L703;ACNE TROPICAL|
L702;ACNE VARIOLIFORME|
L700;ACNE VULGAR|
L709;ACNE, NO ESPECIFICADO|
Q770;ACONDROGENESIS|
Q774;ACONDROPLASIA|
M670;ACORTAMIENTO DEL TENDON DE AQUILES (ADQUIRIDO)|
L402;ACRODERMATITIS CONTINUA|
L904;ACRODERMATITIS CRONICA ATROFICA|
L444;ACRODERMATITIS PAPULAR INFANTIL [GIANNOTTI-CROSTI]|
E220;ACROMEGALIA Y GIGANTISMO HIPOFISARIO|
B471;ACTINOMICETOMA|
A421;ACTINOMICOSIS ABDOMINAL|
A422;ACTINOMICOSIS CERVICOFACIAL|
A420;ACTINOMICOSIS PULMONAR|
A429;ACTINOMICOSIS, SIN OTRA ESPECIFICACION|
F422;ACTOS E IDEAS OBSESIVAS MIXTOS|
R591;ADENOMEGALIA GENERALIZADA|
R590;ADENOMEGALIA LOCALIZADA|
R599;ADENOMEGALIA, NO ESPECIFICADA|
B970;ADENOVIRUS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPITULOS|
K660;ADHERENCIAS PERITONEALES|
N994;ADHERENCIAS PERITONEALES PELVICAS CONSECUTIVAS A PROCEDIMIENTOS|
N736;ADHERENCIAS PERITONEALES PELVICAS FEMENINAS|
N992;ADHERENCIAS POSTOPERATORIAS DE LA VAGINA|
K565;ADHERENCIAS [BRIDAS] INTESTINALES CON OBSTRUCCION|
Z506;ADIESTRAMIENTO ORTOPTICO|
E65X;ADIPOSIDAD LOCALIZADA|
H270;AFAQUIA|
Q123;AFAQUIA CONGENITA|
F803;AFASIA ADQUIRIDA CON EPILEPSIA [LANDAU-KLEFFNER]|
L539;AFECCION ERITEMATOSA, NO ESPECIFICADA|
D699;AFECCION HEMORRAGICA, NO ESPECIFICADA|
P839;AFECCION NO ESPECIFICADA DE LA PIEL, PROPIA DEL FETO Y DEL RECIEN NACIDO|
P969;AFECCION NO ESPECIFICADA ORIGINADA EN EL PERIODO PERINATAL|
Y95X;AFECCION NOSOCOMIAL|
J949;AFECCION PLEURAL, NO ESPECIFICADA|
Y98X;AFECCION RELACIONADA CON EL ESTILO DE VIDA|
Y96X;AFECCION RELACIONADA CON EL TRABAJO|
Y97X;AFECCION RELACIONADA CON LA CONTAMINACION AMBIENTAL|
P289;AFECCION RESPIRATORIA NO ESPECIFICADA DEL RECIEN NACIDO|
J689;AFECCION RESPIRATORIA NO ESPECIFICADA, DEBIDA A INHALACION DE GASES, HUMOS, VAPORES Y SUSTANCIAS QUI|
J840;AFECCIONES ALVEOLARES Y ALVEOLOPARIETALES|
H445;AFECCIONES DEGENERATIVAS DEL GLOBO OCULAR|
H052;AFECCIONES EXOFTALMICAS|
K102;AFECCIONES INFLAMATORIAS DE LOS MAXILARES|
N949;AFECCIONES NO ESPECIFICADAS ASOCIADAS CON LOS ORGANOS GENITALES FEMENINOS Y EL CICLO MENSTRUAL|
H611;AFECCIONES NO INFECCIOSAS DEL PABELLON AUDITIVO|
J684;AFECCIONES RESPIRATORIAS CRONICAS DEBIDAS A INHALACION DE GASES, HUMOS, VAPORES Y SUSTANCIAS QUIMICA|
J709;AFECCIONES RESPIRATORIAS DEBIDAS A AGENTES EXTERNOS NO ESPECIFICADOS|
J708;AFECCIONES RESPIRATORIAS DEBIDAS A OTROS AGENTES EXTERNOS ESPECIFICADOS|
R491;AFONIA|
O923;AGALACTIA|
Q333;AGENESIA DEL PULMON|
Q624;AGENESIA DEL URETER|
Q301;AGENESIA O HIPOPLASIA DE LA NARIZ|
Q601;AGENESIA RENAL, BILATERAL|
Q602;AGENESIA RENAL, SIN OTRA ESPECIFICACION|
Q600;AGENESIA RENAL, UNILATERAL|
Q515;AGENESIA Y APLASIA DEL CUELLO UTERINO|
Q510;AGENESIA Y APLASIA DEL UTERO|
Q440;AGENESIA, APLASIA E HIPOPLASIA DE LA VESICULA BILIAR|
Q450;AGENESIA, APLASIA E HIPOPLASIA DEL PANCREAS|
T440;AGENTES ANTICOLINESTERASA|
T448;AGENTES DE ACCION CENTRAL Y BLOQUEADORES NEURONALES ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE|
T503;AGENTES DEL EQUILIBRIO HIDROLOGICO, ELECTROLITICO Y CALORICO|
T508;AGENTES DIAGNOSTICOS|
T479;AGENTES NO ESPECIFICADOS QUE AFECTAN PRINCIPALMENTE EL SISTEMA GASTROINTESTINAL|
T459;AGENTES PRINCIPALMENTE SISTEMICOS Y HEMATOLOGICOS, NO ESPECIFICADOS|
T499;AGENTES TOPICOS, NO ESPECIFICADOS|
R481;AGNOSIA|
T445;AGONISTAS, PREDOMINANTEMENTE  BETA-ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE|
T444;AGONISTAS, PREDOMINANTEMENTE ALFA-ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE|
F400;AGORAFOBIA|
T733;AGOTAMIENTO DEBIDO A ESFUERZO EXCESIVO|
T732;AGOTAMIENTO DEBIDO A EXPOSICION A LA INTEMPERIE|
T674;AGOTAMIENTO POR CALOR DEBIDA A DEPLECION DE SAL|
T675;AGOTAMIENTO POR CALOR NO ESPECIFICADO|
T673;AGOTAMIENTO POR CALOR, ANHIDROTICO|
Q845;AGRANDAMIENTO E HIPERTROFIA DE LAS UÑAS|
D70X;AGRANULOCITOSIS|
X93X;AGRESION CON DISPARO DE ARMA CORTA|
X936;AGRESION CON DISPARO DE ARMA CORTA, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION|
X933;AGRESION CON DISPARO DE ARMA CORTA, EN AREAS DE DEPORTE Y ATLETISMO|
X934;AGRESION CON DISPARO DE ARMA CORTA, EN CALLES Y CARRETERAS|
X935;AGRESION CON DISPARO DE ARMA CORTA, EN COMERCIO Y AREA DE SERVICIOS|
X932;AGRESION CON DISPARO DE ARMA CORTA, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICA|
X937;AGRESION CON DISPARO DE ARMA CORTA, EN GRANJA|
X931;AGRESION CON DISPARO DE ARMA CORTA, EN INSTITUCION RESIDENCIAL|
X939;AGRESION CON DISPARO DE ARMA CORTA, EN LUGAR NO ESPECIFICADO|
X938;AGRESION CON DISPARO DE ARMA CORTA, EN OTRO LUGAR ESPECIFICADO|
X930;AGRESION CON DISPARO DE ARMA CORTA, EN VIVIENDA|
X95X;AGRESION CON DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS|
X956;AGRESION CON DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, EN AREA INDUSTRIAL Y DE LA CON|
X953;AGRESION CON DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, EN AREAS DE DEPORTE Y ATLETISM|
X954;AGRESION CON DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, EN CALLES Y CARRETERAS|
X955;AGRESION CON DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, EN COMERCIO Y AREA DE SERVICIO|
X952;AGRESION CON DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, EN ESCUELAS, OTRAS INSTITUCION|
X957;AGRESION CON DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, EN GRANJA|
X951;AGRESION CON DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, EN INSTITUCION RESIDENCIAL|
X959;AGRESION CON DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, EN LUGAR NO ESPECIFICADO|
X958;AGRESION CON DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, EN OTRO LUGAR ESPECIFICADO|
X950;AGRESION CON DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, EN VIVIENDA|
X94X;AGRESION CON DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA|
X946;AGRESION CON DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION|
X943;AGRESION CON DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN AREAS DE DEPORTE Y ATLETISMO|
X944;AGRESION CON DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN CALLES Y CARRETERAS|
X945;AGRESION CON DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN COMERCIO Y AREA DE SERVICIOS|
X942;AGRESION CON DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMIN|
X947;AGRESION CON DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN GRANJA|
X941;AGRESION CON DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN INSTITUCION RESIDENCIAL|
X949;AGRESION CON DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN LUGAR NO ESPECIFICADO|
X948;AGRESION CON DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN OTRO LUGAR ESPECIFICADO|
X940;AGRESION CON DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN VIVIENDA|
X85X;AGRESION CON DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS|
X856;AGRESION CON DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION|
X853;AGRESION CON DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, EN AREAS DE DEPORTE Y ATLETISMO|
X854;AGRESION CON DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, EN CALLES Y CARRETERAS|
X855;AGRESION CON DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, EN COMERCIO Y AREA DE SERVICIOS|
X852;AGRESION CON DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS|
X857;AGRESION CON DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, EN GRANJA|
X851;AGRESION CON DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, EN INSTITUCION RESIDENCIAL|
X859;AGRESION CON DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, EN LUGAR NO ESPECIFICADO|
X858;AGRESION CON DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, EN OTRO LUGAR ESPECIFICADO|
X850;AGRESION CON DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, EN VIVIENDA|
Y04X;AGRESION CON FUERZA CORPORAL|
