idsolicitud,fechahora,idusuario,descontado,totalentregado
"000000045","2018-02-03 10:14:32","KESPIRITU","0.00","600.00"
"000000046","2018-02-08 05:41:27","KESPIRITU","0.00","1200.00"
"000000047","2018-02-08 05:55:20","KESPIRITU","0.00","1000.00"
"000000048","2018-02-12 12:55:18","KESPIRITU","0.00","600.00"
"000000049","2018-02-09 12:03:01","KESPIRITU","0.00","1000.00"
"000000053","2018-02-09 05:30:27","KESPIRITU","0.00","300.00"
"000000054","2018-02-10 11:34:25","KESPIRITU","0.00","2000.00"
"000000055","2018-02-10 12:14:47","KESPIRITU","0.00","600.00"
"000000056","2018-02-20 11:51:31","KESPIRITU","0.00","1500.00"
"000000057","2018-01-16 10:09:45","KESPIRITU","0.00","300.00"
"000000058","2018-02-12 12:50:18","KESPIRITU","0.00","300.00"
"000000059","2018-02-13 10:33:03","KESPIRITU","0.00","1200.00"
"000000063","2018-02-13 07:10:03","KESPIRITU","0.00","1700.00"
"000000064","2018-02-14 11:45:50","KESPIRITU","0.00","5000.00"
"000000065","2018-02-14 11:54:59","KESPIRITU","0.00","600.00"
"000000066","2018-02-14 04:54:20","KESPIRITU","0.00","2500.00"
"000000067","2018-02-15 11:16:57","KESPIRITU","0.00","500.00"
"000000068","2018-02-14 06:10:18","KESPIRITU","0.00","500.00"
"000000070","2018-02-15 12:08:05","KESPIRITU","0.00","2000.00"
"000000071","2018-02-15 12:14:05","KESPIRITU","0.00","1000.00"
"000000072","2018-02-15 12:03:03","KESPIRITU","0.00","300.00"
"000000073","2018-02-15 12:08:49","KESPIRITU","0.00","1000.00"
"000000074","2018-02-13 11:15:44","KESPIRITU","0.00","200.00"
"000000075","2018-01-25 11:27:02","KESPIRITU","0.00","3000.00"
"000000076","2018-02-16 05:09:12","KESPIRITU","0.00","1000.00"
"000000077","2018-02-16 07:59:06","KESPIRITU","0.00","2000.00"
"000000078","2018-02-17 11:54:06","KESPIRITU","0.00","600.00"
"000000079","2018-02-17 12:22:14","KESPIRITU","0.00","600.00"
"000000080","2018-02-19 11:29:43","KESPIRITU","0.00","500.00"
"000000082","2018-02-19 13:17:54","KESPIRITU","0.00","700.00"
"000000083","2018-02-19 08:13:39","KESPIRITU","0.00","2000.00"
"000000084","2018-02-19 13:22:01","KESPIRITU","0.00","1000.00"
"000000085","2018-02-20 10:42:10","KESPIRITU","0.00","300.00"
"000000086","2018-02-17 08:02:10","KESPIRITU","0.00","2000.00"
"000000087","2018-02-17 20:21:42","KESPIRITU","0.00","1000.00"
"000000088","2018-02-20 11:45:37","KESPIRITU","0.00","500.00"
"000000089","2018-02-21 11:38:41","KESPIRITU","0.00","500.00"
"000000090","2018-02-21 17:25:21","KESPIRITU","0.00","500.00"
"000000091","2018-02-22 11:34:24","KESPIRITU","0.00","1200.00"
"000000092","2018-02-22 11:23:10","KESPIRITU","0.00","2000.00"
"000000093","2018-02-22 12:06:12","KESPIRITU","0.00","500.00"
"000000094","2018-02-22 11:24:37","KESPIRITU","0.00","300.00"
"000000095","2018-02-22 12:27:40","KESPIRITU","0.00","500.00"
"000000096","2018-02-22 12:07:59","KESPIRITU","0.00","3000.00"
"000000097","2018-02-23 12:29:13","KESPIRITU","0.00","1200.00"
"000000098","2018-02-23 16:52:52","KESPIRITU","0.00","3000.00"
"000000099","2018-02-23 18:58:55","KESPIRITU","0.00","300.00"
"000000100","2018-02-23 12:49:43","KESPIRITU","0.00","400.00"
"000000101","2018-02-23 18:20:16","KESPIRITU","0.00","700.00"
"000000103","2018-02-23 17:44:28","KESPIRITU","0.00","1000.00"
"000000104","2018-02-23 19:36:36","KESPIRITU","0.00","500.00"
"000000105","2018-02-24 10:48:56","KESPIRITU","0.00","800.00"
"000000106","2018-02-24 11:53:59","KESPIRITU","0.00","400.00"
"000000107","2018-02-26 16:33:04","KESPIRITU","0.00","700.00"
"000000108","2018-02-26 16:31:49","KESPIRITU","0.00","1000.00"
"000000109","2018-02-26 16:32:26","KESPIRITU","0.00","1000.00"
"000000110","2018-02-26 19:48:30","KESPIRITU","0.00","500.00"
"000000111","2018-02-27 12:40:39","KESPIRITU","0.00","3000.00"
"000000112","2018-02-27 12:56:42","KESPIRITU","0.00","300.00"
"000000113","2018-02-28 09:35:13","KESPIRITU","0.00","1200.00"
"000000114","2018-02-27 10:20:53","KESPIRITU","0.00","500.00"
"000000115","2018-02-27 16:28:36","KESPIRITU","0.00","3000.00"
"000000116","2018-02-27 17:04:22","KESPIRITU","0.00","2000.00"
"000000117","2018-02-27 16:42:13","KESPIRITU","0.00","2500.00"
"000000118","2018-02-27 19:16:01","KESPIRITU","0.00","1000.00"
"000000119","2018-02-28 12:18:46","KESPIRITU","0.00","1000.00"
"000000120","2018-02-28 12:19:57","KESPIRITU","0.00","1000.00"
"000000122","2018-02-28 16:34:52","KESPIRITU","0.00","700.00"
"000000123","2018-02-28 12:28:58","KESPIRITU","0.00","500.00"
"000000124","2018-02-28 17:18:32","KESPIRITU","0.00","1000.00"
"000000125","2018-02-28 16:55:56","KESPIRITU","0.00","400.00"
"000000126","2018-02-28 17:58:03","KESPIRITU","0.00","500.00"
"000000127","2018-02-28 13:02:46","KESPIRITU","0.00","1000.00"
"000000128","2018-02-28 17:09:45","KESPIRITU","0.00","3000.00"
"000000129","2018-03-01 11:53:48","KESPIRITU","0.00","2000.00"
"000000130","2018-03-01 17:25:05","KESPIRITU","0.00","1000.00"
"000000131","2018-03-02 11:01:04","KESPIRITU","0.00","400.00"
"000000132","2018-03-02 11:24:51","KESPIRITU","0.00","2500.00"
"000000133","2018-03-02 11:20:11","KESPIRITU","0.00","1500.00"
"000000134","2018-03-02 11:25:10","KESPIRITU","0.00","1000.00"
"000000135","2018-03-02 11:27:19","KESPIRITU","0.00","600.00"
"000000136","2018-03-03 09:26:31","KESPIRITU","0.00","500.00"
"000000137","2018-03-02 19:27:42","KESPIRITU","0.00","1000.00"
"000000138","2018-03-02 19:32:47","KESPIRITU","0.00","1500.00"
"000000139","2018-03-02 16:17:24","KESPIRITU","0.00","2000.00"
"000000140","2018-03-03 12:43:23","KESPIRITU","0.00","700.00"
"000000141","2018-03-03 11:29:32","KESPIRITU","0.00","700.00"
"000000143","2018-03-03 11:11:53","KESPIRITU","0.00","500.00"
"000000144","2018-03-03 11:14:51","KESPIRITU","0.00","1500.00"
"000000145","2018-03-03 11:04:26","KESPIRITU","0.00","1000.00"
"000000146","2018-03-05 10:42:41","KESPIRITU","0.00","2000.00"
"000000147","2018-03-07 10:37:03","KESPIRITU","0.00","2000.00"
"000000148","2018-03-05 18:36:31","KESPIRITU","0.00","500.00"
"000000149","2018-03-05 18:30:07","KESPIRITU","0.00","3000.00"
"000000150","2018-03-05 19:54:29","KESPIRITU","0.00","350.00"
"000000151","2018-03-05 20:08:20","KESPIRITU","0.00","800.00"
"000000152","2018-03-10 11:16:06","KESPIRITU","0.00","1000.00"
"000000153","2018-03-10 10:49:20","KESPIRITU","0.00","2000.00"
"000000154","2018-03-09 12:16:45","KESPIRITU","0.00","2000.00"
"000000155","2018-03-08 12:47:03","KESPIRITU","0.00","1000.00"
"000000156","2018-03-08 13:38:20","KESPIRITU","0.00","300.00"
"000000157","2018-03-07 13:56:33","KESPIRITU","0.00","1500.00"
"000000158","2018-03-07 14:21:16","KESPIRITU","0.00","500.00"
"000000159","2018-03-08 14:23:41","KESPIRITU","0.00","800.00"
"000000160","2018-03-06 14:25:36","KESPIRITU","0.00","500.00"
"000000161","2018-03-07 14:28:28","KESPIRITU","0.00","2000.00"
"000000162","2018-03-09 12:58:36","KESPIRITU","0.00","400.00"
"000000163","2018-03-07 15:00:57","KESPIRITU","0.00","300.00"
"000000164","2018-03-07 15:00:39","KESPIRITU","0.00","600.00"
"000000165","2018-03-08 15:16:56","KESPIRITU","0.00","900.00"
"000000166","2018-03-08 15:18:54","KESPIRITU","0.00","4000.00"
"000000167","2018-03-09 15:22:54","KESPIRITU","0.00","1500.00"
"000000168","2018-03-12 10:09:33","KESPIRITU","0.00","1000.00"
"000000169","2018-03-07 10:36:28","KESPIRITU","0.00","2000.00"
"000000170","2018-03-12 10:22:50","KESPIRITU","0.00","700.00"
"000000171","2018-03-07 10:37:22","KESPIRITU","0.00","400.00"
"000000172","2018-08-13 10:35:37","KESPIRITU","0.00","1500.00"
"000000173","2018-03-12 10:51:07","KESPIRITU","0.00","500.00"
"000000174","2018-03-09 10:52:32","KESPIRITU","0.00","600.00"
"000000175","2018-03-12 17:08:26","KESPIRITU","0.00","700.00"
"000000176","2018-03-13 11:47:08","KESPIRITU","0.00","800.00"
"000000177","2018-03-13 11:43:54","KESPIRITU","0.00","3000.00"
"000000178","2018-03-13 11:57:12","KESPIRITU","0.00","700.00"
"000000179","2018-03-13 18:58:51","KESPIRITU","0.00","3000.00"
"000000180","2018-03-14 09:10:29","KESPIRITU","0.00","500.00"
"000000181","2018-03-14 11:51:30","KESPIRITU","0.00","100.00"
"000000182","2018-03-14 11:23:52","KESPIRITU","0.00","500.00"
"000000183","2018-03-14 17:36:25","KESPIRITU","0.00","3000.00"
"000000184","2018-03-14 11:21:24","KESPIRITU","0.00","500.00"
"000000185","2018-03-15 11:38:02","KESPIRITU","0.00","700.00"
"000000186","2018-03-15 11:30:43","KESPIRITU","0.00","1500.00"
"000000187","2018-03-15 18:43:39","KESPIRITU","0.00","1200.00"
"000000188","2018-03-15 16:23:41","KESPIRITU","0.00","1500.00"
"000000189","2018-03-15 18:21:21","KESPIRITU","0.00","2000.00"
"000000190","2018-03-16 13:16:32","KESPIRITU","0.00","1000.00"
"000000191","2018-03-16 18:53:09","KESPIRITU","0.00","1000.00"
"000000192","2018-03-17 09:44:18","KESPIRITU","0.00","2000.00"
"000000193","2018-03-17 09:46:03","KESPIRITU","0.00","500.00"
"000000194","2018-03-17 10:02:41","KESPIRITU","0.00","250.00"
"000000195","2018-03-17 09:29:20","KESPIRITU","0.00","800.00"
"000000196","2018-03-17 11:09:18","KESPIRITU","0.00","1200.00"
"000000197","2018-03-17 13:23:16","KESPIRITU","0.00","500.00"
"000000198","2018-03-17 13:06:24","KESPIRITU","0.00","750.00"
"000000199","2018-03-19 10:31:15","KESPIRITU","0.00","1000.00"
"000000200","2018-03-20 09:49:56","KESPIRITU","0.00","500.00"
"000000201","2018-03-20 11:47:00","KESPIRITU","0.00","400.00"
"000000202","2018-03-20 12:12:40","KESPIRITU","0.00","1000.00"
"000000203","2018-03-20 12:10:57","KESPIRITU","0.00","800.00"
"000000204","2018-03-21 10:53:15","KESPIRITU","0.00","1000.00"
"000000205","2018-03-21 10:47:31","KESPIRITU","0.00","2000.00"
"000000206","2018-03-21 11:45:25","KESPIRITU","0.00","500.00"
"000000207","2018-03-21 10:30:47","KESPIRITU","0.00","600.00"
"000000208","2018-03-21 10:34:56","KESPIRITU","0.00","2000.00"
"000000209","2018-03-21 17:04:31","KESPIRITU","0.00","300.00"
"000000210","2018-03-21 17:18:59","KESPIRITU","0.00","800.00"
"000000211","2018-03-21 19:50:47","KESPIRITU","0.00","500.00"
"000000212","2018-03-22 10:54:12","KESPIRITU","0.00","1000.00"
"000000213","2018-03-22 10:56:05","KESPIRITU","0.00","600.00"
"000000214","2018-03-22 10:51:07","KESPIRITU","0.00","500.00"
"000000215","2018-03-22 18:37:19","KESPIRITU","0.00","1000.00"
"000000216","2018-03-23 11:42:23","KESPIRITU","0.00","2500.00"
"000000217","2018-03-23 11:35:38","KESPIRITU","0.00","3000.00"
"000000218","2018-03-23 11:39:28","KESPIRITU","0.00","800.00"
"000000219","2018-03-24 12:22:35","KESPIRITU","0.00","2000.00"
"000000220","2018-03-23 12:48:36","KESPIRITU","0.00","1500.00"
"000000221","2018-03-23 13:06:03","KESPIRITU","0.00","1000.00"
"000000222","2018-03-24 10:45:48","KESPIRITU","0.00","200.00"
"000000223","2018-03-24 11:11:39","KESPIRITU","0.00","1000.00"
"000000224","2018-03-24 10:46:26","KESPIRITU","0.00","300.00"
"000000225","2018-03-24 11:25:39","KESPIRITU","0.00","2000.00"
"000000226","2018-03-26 11:31:47","KESPIRITU","0.00","1000.00"
"000000227","2018-03-26 11:08:42","KESPIRITU","0.00","700.00"
"000000228","2018-03-26 12:12:29","KESPIRITU","0.00","300.00"
"000000229","2018-03-26 12:11:39","KESPIRITU","0.00","500.00"
"000000230","2018-03-26 11:42:08","KESPIRITU","0.00","1000.00"
"000000231","2018-03-26 19:19:00","KESPIRITU","0.00","1800.00"
"000000232","2018-03-27 10:02:39","KESPIRITU","0.00","300.00"
"000000233","2018-03-27 11:30:19","KESPIRITU","0.00","5000.00"
"000000234","2018-03-27 12:15:59","KESPIRITU","0.00","700.00"
"000000235","2018-03-27 11:17:41","KESPIRITU","0.00","800.00"
"000000236","2018-03-27 11:23:47","KESPIRITU","0.00","700.00"
"000000237","2018-03-27 11:32:05","KESPIRITU","0.00","500.00"
"000000238","2018-03-28 10:32:31","KESPIRITU","0.00","500.00"
"000000239","2018-03-28 10:27:51","KESPIRITU","0.00","1000.00"
"000000240","2018-03-28 11:56:25","KESPIRITU","0.00","1000.00"
"000000241","2018-04-02 17:35:17","KESPIRITU","0.00","3000.00"
"000000242","2018-03-28 19:14:27","KESPIRITU","0.00","500.00"
"000000243","2018-03-31 10:43:15","KESPIRITU","0.00","1000.00"
"000000244","2018-03-31 10:44:46","KESPIRITU","0.00","1000.00"
"000000245","2018-03-31 10:30:44","KESPIRITU","0.00","2500.00"
"000000246","2018-03-31 10:32:35","KESPIRITU","0.00","2500.00"
"000000247","2018-03-31 11:53:19","KESPIRITU","0.00","5000.00"
"000000248","2018-04-03 12:34:29","KESPIRITU","0.00","1000.00"
"000000249","2018-04-02 12:22:45","KESPIRITU","0.00","2000.00"
"000000250","2018-04-02 09:53:16","KESPIRITU","0.00","3000.00"
"000000251","2018-04-02 13:30:11","KESPIRITU","0.00","700.00"
"000000252","2018-04-02 11:53:01","KESPIRITU","0.00","300.00"
"000000253","2018-04-02 11:46:12","KESPIRITU","0.00","1000.00"
"000000254","2018-04-03 10:18:06","KESPIRITU","0.00","1200.00"
"000000255","2018-04-10 09:08:36","KESPIRITU","0.00","1000.00"
"000000256","2018-04-03 11:12:59","KESPIRITU","0.00","400.00"
"000000257","2018-04-03 12:22:42","KESPIRITU","0.00","1000.00"
"000000258","2018-04-03 17:57:49","KESPIRITU","0.00","800.00"
"000000259","2018-04-03 17:34:24","KESPIRITU","0.00","1000.00"
"000000260","2018-04-03 10:33:33","KESPIRITU","0.00","500.00"
"000000261","2018-04-03 10:47:51","KESPIRITU","0.00","700.00"
"000000262","2018-04-03 17:54:26","KESPIRITU","0.00","1000.00"
"000000263","2018-04-03 18:12:26","KESPIRITU","0.00","800.00"
"000000264","2018-04-03 18:39:05","KESPIRITU","0.00","350.00"
"000000265","2018-04-04 09:50:11","KESPIRITU","0.00","1000.00"
"000000266","2018-04-04 12:14:24","KESPIRITU","0.00","1000.00"
"000000267","2018-04-04 13:46:42","KESPIRITU","0.00","1000.00"
"000000268","2018-04-04 12:38:04","KESPIRITU","0.00","3000.00"
"000000269","2018-04-04 12:33:22","KESPIRITU","0.00","2300.00"
"000000270","2018-04-04 19:19:47","KESPIRITU","0.00","3500.00"
"000000271","2018-04-05 16:50:14","KESPIRITU","0.00","1000.00"
"000000272","2018-04-05 12:54:57","KESPIRITU","0.00","800.00"
"000000273","2018-04-05 11:23:40","KESPIRITU","0.00","500.00"
"000000274","2018-04-05 11:16:33","KESPIRITU","0.00","2000.00"
"000000275","2018-04-05 11:18:18","KESPIRITU","0.00","500.00"
"000000276","2018-04-05 18:15:43","KESPIRITU","0.00","300.00"
"000000278","2018-04-06 11:33:19","KESPIRITU","0.00","1000.00"
"000000279","2018-04-06 11:28:50","KESPIRITU","0.00","2000.00"
"000000280","2018-04-07 13:42:20","KESPIRITU","0.00","600.00"
"000000281","2018-04-07 10:35:02","KESPIRITU","0.00","1000.00"
"000000282","2018-04-07 10:41:00","KESPIRITU","0.00","1000.00"
"000000283","2018-04-07 10:35:40","KESPIRITU","0.00","600.00"
"000000284","2018-04-07 13:12:05","KESPIRITU","0.00","3000.00"
"000000285","2018-04-07 13:43:56","KESPIRITU","0.00","600.00"
"000000286","2018-04-07 11:17:54","KESPIRITU","0.00","800.00"
"000000287","2018-04-07 11:46:26","KESPIRITU","0.00","2000.00"
"000000288","2018-04-07 10:49:46","KESPIRITU","0.00","1000.00"
"000000289","2018-04-07 10:43:22","KESPIRITU","0.00","1000.00"
"000000290","2018-04-09 11:01:40","KESPIRITU","0.00","1000.00"
"000000291","2018-04-09 12:51:13","KESPIRITU","0.00","500.00"
"000000292","2018-04-09 17:52:07","KESPIRITU","0.00","2500.00"
"000000293","2018-04-10 12:01:06","KESPIRITU","0.00","3000.00"
"000000294","2018-04-10 16:46:30","KESPIRITU","0.00","300.00"
"000000295","2018-04-10 16:01:05","KESPIRITU","0.00","300.00"
"000000296","2018-04-10 10:02:55","KESPIRITU","0.00","1000.00"
"000000297","2018-04-13 18:44:04","KESPIRITU","0.00","900.00"
"000000298","2018-04-11 10:50:41","KESPIRITU","0.00","1000.00"
"000000299","2018-04-11 10:55:57","KESPIRITU","0.00","1200.00"
"000000300","2018-04-11 11:54:44","KESPIRITU","0.00","700.00"
"000000301","2018-04-11 17:48:06","KESPIRITU","0.00","800.00"
"000000302","2018-04-11 12:28:40","KESPIRITU","0.00","2000.00"
"000000303","2018-04-11 17:34:37","KESPIRITU","0.00","1400.00"
"000000304","2018-04-11 18:14:32","KESPIRITU","0.00","350.00"
"000000305","2018-04-12 11:16:32","KESPIRITU","0.00","1200.00"
"000000306","2018-04-12 16:14:30","KESPIRITU","0.00","500.00"
"000000307","2018-04-12 11:35:02","KESPIRITU","0.00","500.00"
"000000308","2018-04-12 11:42:39","KESPIRITU","0.00","300.00"
"000000310","2018-04-12 18:53:59","KESPIRITU","0.00","350.00"
"000000311","2018-04-13 10:32:31","KESPIRITU","0.00","500.00"
"000000313","2018-04-13 11:29:51","KESPIRITU","0.00","800.00"
"000000314","2018-04-13 16:06:09","KESPIRITU","0.00","2000.00"
"000000315","2018-04-13 17:50:48","KESPIRITU","0.00","2000.00"
"000000316","2018-04-14 09:38:08","KESPIRITU","0.00","500.00"
"000000317","2018-04-14 10:46:22","KESPIRITU","0.00","500.00"
"000000319","2018-04-14 10:38:08","KESPIRITU","0.00","500.00"
"000000320","2018-04-14 10:39:36","KESPIRITU","0.00","1000.00"
"000000321","2018-04-14 13:24:01","KESPIRITU","0.00","200.00"
"000000322","2018-04-14 13:30:51","KESPIRITU","0.00","700.00"
"000000323","2018-04-16 10:22:03","KESPIRITU","0.00","400.00"
"000000324","2018-04-16 10:30:13","KESPIRITU","0.00","1000.00"
"000000325","2018-04-16 10:23:08","KESPIRITU","0.00","2000.00"
"000000326","2018-04-16 18:06:00","KESPIRITU","0.00","1800.00"
"000000327","2018-04-16 16:02:09","KESPIRITU","0.00","500.00"
"000000328","2018-04-18 11:34:11","KESPIRITU","0.00","3000.00"
"000000329","2018-04-16 12:47:24","KESPIRITU","0.00","1000.00"
"000000330","2018-04-16 20:00:44","KESPIRITU","0.00","300.00"
"000000331","2018-04-17 11:26:23","KESPIRITU","0.00","500.00"
"000000332","2018-04-17 11:22:19","KESPIRITU","0.00","1000.00"
"000000333","2018-04-17 11:27:30","KESPIRITU","0.00","500.00"
"000000334","2018-04-17 10:18:03","KESPIRITU","0.00","4000.00"
"000000335","2018-04-17 11:24:11","KESPIRITU","0.00","500.00"
"000000336","2018-04-17 11:47:42","KESPIRITU","0.00","1800.00"
"000000337","2018-04-17 19:05:25","KESPIRITU","0.00","500.00"
"000000338","2018-04-18 11:11:27","KESPIRITU","0.00","1000.00"
"000000339","2018-04-18 11:11:04","KESPIRITU","0.00","500.00"
"000000340","2018-04-18 11:27:06","KESPIRITU","0.00","1500.00"
"000000341","2018-04-18 19:41:16","KESPIRITU","0.00","300.00"
"000000342","2018-04-19 10:56:57","KESPIRITU","0.00","1000.00"
"000000343","2018-04-19 10:51:26","KESPIRITU","0.00","900.00"
"000000344","2018-04-20 18:42:10","KESPIRITU","0.00","600.00"
"000000345","2018-04-19 19:30:51","KESPIRITU","0.00","2000.00"
"000000346","2018-04-20 10:24:01","KESPIRITU","0.00","2000.00"
"000000347","2018-04-20 14:05:42","KESPIRITU","0.00","5000.00"
"000000348","2018-04-20 17:49:43","KESPIRITU","0.00","1000.00"
"000000350","2018-04-21 10:27:31","KESPIRITU","0.00","6000.00"
"000000351","2018-04-21 10:04:51","KESPIRITU","0.00","1500.00"
"000000352","2018-04-21 09:24:55","KESPIRITU","0.00","700.00"
"000000353","2018-04-21 09:25:32","KESPIRITU","0.00","300.00"
"000000354","2018-04-21 09:50:05","KESPIRITU","0.00","500.00"
"000000355","2018-04-21 11:38:32","KESPIRITU","0.00","1000.00"
"000000356","2018-04-21 10:40:50","KESPIRITU","0.00","500.00"
"000000357","2018-04-23 19:16:09","KESPIRITU","0.00","3000.00"
"000000358","2018-04-23 18:53:58","KESPIRITU","0.00","2500.00"
"000000359","2018-04-24 10:22:51","KESPIRITU","0.00","1250.00"
"000000360","2018-04-23 20:00:19","KESPIRITU","0.00","2000.00"
"000000361","2018-04-24 13:03:59","KESPIRITU","0.00","2000.00"
"000000362","2018-04-24 17:39:45","KESPIRITU","0.00","800.00"
"000000363","2018-04-24 12:14:01","KESPIRITU","0.00","1000.00"
"000000364","2018-04-24 17:45:03","KESPIRITU","0.00","2000.00"
"000000365","2018-04-24 19:18:31","KESPIRITU","0.00","1000.00"
"000000366","2018-04-24 11:08:38","KESPIRITU","0.00","700.00"
"000000368","2018-04-24 11:35:55","KESPIRITU","0.00","500.00"
"000000369","2018-04-24 11:33:03","KESPIRITU","0.00","1000.00"
"000000370","2018-04-25 18:06:58","KESPIRITU","0.00","500.00"
"000000371","2018-04-25 09:26:18","KESPIRITU","0.00","800.00"
"000000372","2018-04-25 11:12:30","KESPIRITU","0.00","1000.00"
"000000373","2018-04-25 11:13:05","KESPIRITU","0.00","500.00"
"000000374","2018-04-25 13:44:04","KESPIRITU","0.00","7000.00"
"000000375","2018-04-25 17:53:40","KESPIRITU","0.00","2000.00"
"000000376","2018-04-25 18:13:39","KESPIRITU","0.00","500.00"
"000000377","2018-04-26 17:43:01","KESPIRITU","0.00","500.00"
"000000378","2018-04-26 10:13:07","KESPIRITU","0.00","1000.00"
"000000379","2018-04-26 16:18:24","KESPIRITU","0.00","300.00"
"000000380","2018-04-27 17:00:17","KESPIRITU","0.00","500.00"
"000000381","2018-04-27 11:02:10","KESPIRITU","0.00","1000.00"
"000000382","2018-04-27 11:11:24","KESPIRITU","0.00","500.00"
"000000383","2018-04-27 11:12:57","KESPIRITU","0.00","600.00"
"000000384","2018-04-28 10:51:16","KESPIRITU","0.00","500.00"
"000000385","2018-04-27 11:13:25","KESPIRITU","0.00","3000.00"
"000000387","2018-04-27 12:24:02","KESPIRITU","0.00","600.00"
"000000388","2018-04-30 10:33:12","KESPIRITU","0.00","300.00"
"000000389","2018-04-27 18:48:41","KESPIRITU","0.00","500.00"
"000000391","2018-04-28 10:20:29","KESPIRITU","0.00","500.00"
"000000392","2018-04-28 10:21:21","KESPIRITU","0.00","400.00"
"000000393","2018-04-28 10:22:48","KESPIRITU","0.00","1000.00"
"000000395","2018-04-28 10:55:22","KESPIRITU","0.00","800.00"
"000000396","2018-04-28 11:00:11","KESPIRITU","0.00","500.00"
"000000397","2018-04-30 18:42:16","KESPIRITU","0.00","5000.00"
"000000398","2018-04-28 11:21:30","KESPIRITU","0.00","2500.00"
"000000399","2018-04-28 10:50:32","KESPIRITU","0.00","600.00"
"000000400","2018-04-28 11:12:13","KESPIRITU","0.00","700.00"
"000000401","2018-04-28 14:28:35","KESPIRITU","0.00","600.00"
"000000402","2018-04-30 10:38:45","KESPIRITU","0.00","2000.00"
"000000403","2018-04-30 19:56:48","KESPIRITU","0.00","700.00"
"000000404","2018-04-30 19:08:10","KESPIRITU","0.00","3000.00"
"000000405","2018-05-03 10:04:10","KESPIRITU","0.00","3000.00"
"000000406","2018-05-02 19:29:23","KESPIRITU","0.00","2500.00"
"000000407","2018-05-03 10:13:50","KESPIRITU","0.00","1000.00"
"000000408","2018-05-02 11:34:46","KESPIRITU","0.00","1000.00"
"000000409","2018-05-02 11:53:26","KESPIRITU","0.00","3000.00"
"000000410","2018-05-03 12:16:49","KESPIRITU","0.00","1000.00"
"000000411","2018-05-03 19:13:33","KESPIRITU","0.00","500.00"
"000000412","2018-05-04 11:46:44","KESPIRITU","0.00","500.00"
"000000413","2018-05-04 11:18:09","KESPIRITU","0.00","500.00"
"000000415","2018-05-04 11:21:14","KESPIRITU","0.00","1800.00"
"000000416","2018-05-05 09:53:54","KESPIRITU","0.00","400.00"
"000000417","2018-05-05 09:33:59","KESPIRITU","0.00","2000.00"
"000000418","2018-05-05 11:20:28","KESPIRITU","0.00","500.00"
"000000419","2018-05-05 11:19:49","KESPIRITU","0.00","300.00"
"000000420","2018-05-12 10:46:36","KESPIRITU","0.00","1500.00"
"000000421","2018-05-05 09:54:58","KESPIRITU","0.00","500.00"
"000000422","2018-05-05 11:59:37","KESPIRITU","0.00","700.00"
"000000423","2018-05-05 12:35:48","KESPIRITU","0.00","400.00"
"000000424","2018-05-05 11:24:29","KESPIRITU","0.00","600.00"
