"med_CodMed";"med_Nombre";"med_FormaFarmaceutica";"med_Presen";"med_Concen";"med_Costo";"med_Petitorio";"med_Petitorio2005";"med_Petitorio2010";"med_FecBaja";"med_FFDigemid";"med_IdEstado";"MED_V_NOMBRE_SIS";"MED_V_PRESENT_SIS";"MED_V_FORMAFARM_SIS";"MED_V_UNIDAD_CONSUMO";"MED_N_FACTOR_CONSUMO"
"00038";"ACEITE DE SOYA + ALFA TOCOFEROL + LECITINA";"INY";"1 L";"20 g + 20 g + 1.2 g/100 mL";0.0;"N";"N";"N";"2022-05-10";"INY";"1";"ACEITE DE SOYA + ALFA TOCOFEROL + LECITINA";"1 L";"INY";"1 L";1.0
"00039";"ACEITE DE SOYA + ALFA TOCOFEROL + LECITINA";"INY";"250 mL";"20 g + 20 g + 1.2 g/100 mL";0.0;"N";"N";"N";"2022-05-10";"INY";"1";"ACEITE DE SOYA + ALFA TOCOFEROL + LECITINA";"250 mL";"INY";"250 mL";1.0
"00040";"ACEITE DE SOYA + ALFA TOCOFEROL + LECITINA";"INY";"500 mL";"20 g + 20 g + 1.2 g/100 mL";0.0;"N";"N";"N";"2022-05-10";"INY";"1";"ACEITE DE SOYA + ALFA TOCOFEROL + LECITINA";"500 mL";"INY";"500 mL";1.0
"00041";"ACEITE DE SOYA + FOSFOLIPIDOS + GLICEROL";"INY";"100 mL";"20 g + 1.2 g + 2.2 g/100 mL";0.0;"N";"N";"N";"2022-05-10";"INY";"1";"ACEITE DE SOYA + FOSFOLIPIDOS + GLICEROL";"100 mL";"INY";"100 mL";1.0
"00042";"ACEITE DE SOYA + FOSFOLIPIDOS + GLICEROL";"INY";"1 L";"20 g + 1.2 g + 2.2 g/100 mL";0.0;"N";"N";"N";"2022-05-10";"INY";"1";"ACEITE DE SOYA + FOSFOLIPIDOS + GLICEROL";"1 L";"INY";"1 L";1.0
"00043";"ACEITE DE SOYA + FOSFOLIPIDOS + GLICEROL";"INY";"250 mL";"20 g + 1.2 g + 2.2 g/100 mL";0.0;"N";"N";"N";"";"INY";"0";"ACEITE DE SOYA + FOSFOLIPIDOS + GLICEROL";"250 mL";"INY";"250 mL";1.0
"00044";"ACEITE DE SOYA + FOSFOLIPIDOS + GLICEROL";"INY";"500 mL";"20 g + 1.2 g + 2.2 g/100 mL";0.0;"N";"N";"N";"";"INY";"0";"ACEITE DE SOYA + FOSFOLIPIDOS + GLICEROL";"500 mL";"INY";"500 mL";1.0
"00045";"ACEITE DE SOYA + GLICEROL + LECITINA";"INY";"100 mL";"20 g + 2.5 g + 1.2 g/100 mL";0.0;"N";"N";"N";"";"INY";"0";"ACEITE DE SOYA + GLICEROL + LECITINA";"100 mL";"INY";"100 mL";1.0
"00046";"ACEITE DE SOYA + GLICEROL + LECITINA";"INY";"250 mL";"20 g + 2.5 g + 1.2 g/100 mL";0.0;"N";"N";"N";"";"INY";"0";"ACEITE DE SOYA + GLICEROL + LECITINA";"250 mL";"INY";"250 mL";1.0
"00047";"ACEITE DE SOYA + GLICEROL + LECITINA";"INY";"500 mL";"20 g + 2.5 g + 1.2 g/100 mL";0.0;"N";"N";"N";"";"INY";"0";"ACEITE DE SOYA + GLICEROL + LECITINA";"500 mL";"INY";"500 mL";1.0
"00048";"ACEITE IODADO DE ADORMIDERA";"INY";"10 mL";"12.8 g/mL";0.0;"N";"N";"N";"";"INY";"0";"ACEITE IODADO DE ADORMIDERA";"10 mL";"INY";"10 mL";1.0
"00049";"ACEMETACINA";"TAB";"";"60 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACEMETACINA";"";"TAB";"UNIDAD";1.0
"00050";"ACEMETACINA";"TAB";"";"90 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACEMETACINA";"";"TAB";"UNIDAD";1.0
"00051";"ACEPONATO DE METILPREDNISOLONA";"EMUL";"20 g";"100 mg/100 g";0.0;"N";"N";"N";"";"EMUL";"0";"ACEPONATO DE METILPREDNISOLONA";"20 g";"EMUL";"20 g";1.0
"00052";"ACEPONATO DE METILPREDNISOLONA";"SOL";"30 mL";"100 mg/100 mL";0.0;"N";"N";"N";"";"SOL";"0";"ACEPONATO DE METILPREDNISOLONA";"30 mL";"SOL";"30 mL";1.0
"00053";"ACEPONATO DE METILPREDNISOLONA";"SOL";"50 mL";"100 mg/100 mL";0.0;"N";"N";"N";"";"SOL";"0";"ACEPONATO DE METILPREDNISOLONA";"50 mL";"SOL";"50 mL";1.0
"00054";"ACETATO DE PREZATIDA DE COBRE";"GEL";"15 g";"500 mg/100 g";0.0;"N";"N";"N";"";"GEL";"0";"ACETATO DE PREZATIDA DE COBRE";"15 g";"GEL";"15 g";1.0
"00055";"ACETAZOLAMIDA + PARACETAMOL";"TAB";"";"250 mg + 450 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACETAZOLAMIDA + PARACETAMOL";"";"TAB";"UNIDAD";1.0
"00056";"ACETAZOLAMIDA";"TAB";"";"250 mg";0.0;"S";"S";"S";"";"TAB";"0";"ACETAZOLAMIDA";"";"TAB";"UNIDAD";1.0
"00057";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"SOL";"1 L";"850 mg + 200 mg + 300 mg/100 mL";0.0;"N";"N";"N";"2022-05-10";"SOL";"1";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"1 L";"SOL";"1 mL";1000.0
"00058";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"SOL";"120 mL";"850 mg + 200 mg + 300 mg/100 mL";0.0;"N";"N";"N";"";"SOL";"0";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"120 mL";"SOL";"120 mL";1.0
"00059";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"SOL";"150 mL";"850 mg + 200 mg + 300 mg/100 mL";0.0;"N";"N";"N";"2022-05-10";"SOL";"1";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"150 mL";"SOL";"150 mL";1.0
"00060";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"SOL";"180 mL";"850 mg + 200 mg + 300 mg/100 mL";0.0;"N";"N";"N";"2022-05-10";"SOL";"1";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"180 mL";"SOL";"180 mL";1.0
"00061";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"SOL";"30 mL";"850 mg + 200 mg + 300 mg/100 mL";0.0;"N";"N";"N";"2022-05-10";"SOL";"1";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"30 mL";"SOL";"30 mL";1.0
"00062";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"SOL";"300 mL";"850 mg + 200 mg + 300 mg/100 mL";0.0;"N";"N";"N";"2022-05-10";"SOL";"1";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"300 mL";"SOL";"300 mL";1.0
"00063";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"SOL";"500 mL";"850 mg + 200 mg + 300 mg/100 mL";0.0;"N";"N";"N";"2022-05-10";"SOL";"1";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"500 mL";"SOL";"500 mL";1.0
"00064";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"SOL";"60 mL";"850 mg + 200 mg + 300 mg/100 mL";0.0;"N";"N";"N";"2022-05-10";"SOL";"1";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"60 mL";"SOL";"60 mL";1.0
"00065";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"SOL";"75 mL";"850 mg + 200 mg + 300 mg/100 mL";0.0;"N";"N";"N";"2022-05-10";"SOL";"1";"ACIDO ACETICO + SALICILICO ACIDO + TIMOL";"75 mL";"SOL";"75 mL";1.0
"00066";"ACIDO ACETICO";"SOL";"10 mL";"20 mg/mL";0.0;"N";"N";"N";"";"SOL";"0";"ACIDO ACETICO";"10 mL";"SOL";"10 mL";1.0
"00067";"ACETILCARNITINA CLORHIDRATO";"TAB";"";"500 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACETILCARNITINA CLORHIDRATO";"";"TAB";"UNIDAD";1.0
"00068";"ACETILCISTEINA + AMOXICILINA";"GRANU";"5 g";"100 mg + 250 mg";0.0;"N";"N";"N";"";"GRANU";"0";"ACETILCISTEINA + AMOXICILINA";"5 g";"GRANU";"5 g";1.0
"00069";"ACETILCISTEINA + AMOXICILINA";"GRANU";"5 g";"200 mg + 500 mg";0.0;"N";"N";"N";"";"GRANU";"0";"ACETILCISTEINA + AMOXICILINA";"5 g";"GRANU";"5 g";1.0
"00070";"ACETILCISTEINA";"GRANU";"1 g";"100 mg";0.0;"N";"N";"N";"";"GRANU";"0";"ACETILCISTEINA";"1 g";"GRANU";"1 g";1.0
"00071";"ACETILCISTEINA";"GRANU";"1 g";"200 mg";0.0;"N";"N";"N";"";"GRANU";"0";"ACETILCISTEINA";"1 g";"GRANU";"1 g";1.0
"00072";"ACETILCISTEINA";"INY";"3 mL";"300 mg";0.0;"N";"N";"N";"";"INY";"0";"ACETILCISTEINA";"3 mL";"INY";"3 mL";1.0
"00073";"ACETILCISTEINA";"GRANU";"30 g";"100 mg/5 mL";0.0;"S";"N";"N";"";"GRANU";"0";"ACETILCISTEINA";"30 g";"GRANU";"UNIDAD";1.0
"00074";"ACETILCISTEINA";"GRANU";"40 g";"100 mg/5 mL";0.0;"S";"N";"N";"";"GRANU";"0";"ACETILCISTEINA";"40 g";"GRANU";"UNIDAD";1.0
"00075";"ACETILCISTEINA";"GRANU";"60 g";"100 mg/5 mL";0.0;"S";"N";"N";"";"GRANU";"0";"ACETILCISTEINA";"60 g";"GRANU";"UNIDAD";1.0
"00076";"ACETILCISTEINA";"TAB";"";"600 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACETILCISTEINA";"";"TAB";"UNIDAD";1.0
"00077";"ACIDO ACETILSALICILICO + ACIDO ASCORBICO";"GRANU";"3 g";"400 mg + 120 mg";0.0;"N";"N";"N";"";"GRANU";"0";"ACIDO ACETILSALICILICO + ACIDO ASCORBICO";"3 g";"GRANU";"3 g";1.0
"00078";"ACIDO ACETILSALICILICO + ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO";"TAB";"";"300 mg + 75 mg + 75 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACIDO ACETILSALICILICO + ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO";"";"TAB";"UNIDAD";1.0
"00079";"ACIDO ACETILSALICILICO + ALUMINIO HIDROXIDO";"TAB";"";"300 mg + 100 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACIDO ACETILSALICILICO + ALUMINIO HIDROXIDO";"";"TAB";"UNIDAD";1.0
"00080";"ACIDO ACETILSALICILICO + CAFEINA + CLORFENAMINA";"TAB";"";"340 mg + 35 mg + 2 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACIDO ACETILSALICILICO + CAFEINA + CLORFENAMINA";"";"TAB";"UNIDAD";1.0
"00081";"ACIDO ACETILSALICILICO + CAFEINA + CODEINA";"TAB";"";"400 mg + 50 mg + 9.6 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACIDO ACETILSALICILICO + CAFEINA + CODEINA";"";"TAB";"UNIDAD";1.0
"00082";"ACIDO ACETILSALICILICO + CAFEINA + DEXTROPROPOXIFENO";"TAB";"";"389 mg + 32.4 mg + 100 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACIDO ACETILSALICILICO + CAFEINA + DEXTROPROPOXIFENO";"";"TAB";"UNIDAD";1.0
"00083";"ACIDO ACETILSALICILICO + CAFEINA + ERGOTAMINA";"EMUL";"120 mL";"0.05 %";0.0;"N";"N";"N";"";"EMUL";"0";"ACIDO ACETILSALICILICO + CAFEINA + ERGOTAMINA";"120 mL";"EMUL";"120 mL";1.0
"00084";"ACIDO ACETILSALICILICO + CAFEINA + ERGOTAMINA";"TAB";"";"400 mg + 50 mg + 1 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACIDO ACETILSALICILICO + CAFEINA + ERGOTAMINA";"";"TAB";"UNIDAD";1.0
"00085";"ACIDO ACETILSALICILICO + CAFEINA + PARACETAMOL";"TAB";"";"250 mg + 65 mg + 250 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACIDO ACETILSALICILICO + CAFEINA + PARACETAMOL";"";"TAB";"UNIDAD";1.0
"00086";"ACIDO ACETILSALICILICO + CAFEINA";"TAB";"";"500 mg + 30 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACIDO ACETILSALICILICO + CAFEINA";"";"TAB";"UNIDAD";1.0
"00087";"ACIDO ACETILSALICILICO + CAFEINA";"TAB";"";"500 mg + 50 mg";0.0;"N";"N";"N";"2011-02-02";"TAB";"1";"ACIDO ACETILSALICILICO + CAFEINA";"";"";"";0.0
"00088";"ACIDO ACETILSALICILICO + ACIDO CITRICO + SODIO BICARBONATO";"TAB";"";"324 mg + 1 g + 1.97 g";0.0;"N";"N";"N";"";"TAB";"0";"ACIDO ACETILSALICILICO + ACIDO CITRICO + SODIO BICARBONATO";"";"TAB";"UNIDAD";1.0
"00089";"CLORFENAMINA + PARACETAMOL + PSEUDOEFEDRINA";"TAB";"";"2 mg + 325 mg + 30 mg";0.0;"N";"N";"N";"2011-02-02";"TAB";"1";"CLORFENAMINA + PARACETAMOL + PSEUDOEFEDRINA";"";"";"";0.0
"00090";"ACIDO ACETILSALICILICO + MOROXIDINA";"TAB";"";"250 mg + 100 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACIDO ACETILSALICILICO + MOROXIDINA";"";"TAB";"UNIDAD";1.0
"00091";"ACIDO ACETILSALICILICO";"TAB";"";"100 mg";0.0;"S";"S";"S";"";"TAB";"0";"ACIDO ACETILSALICILICO";"";"TAB";"UNIDAD";1.0
"00092";"ACIDO ACETILSALICILICO";"TAB";"";"150 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACIDO ACETILSALICILICO";"";"TAB";"UNIDAD";1.0
"00093";"ACIDO ACETILSALICILICO";"TAB";"";"25 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACIDO ACETILSALICILICO";"";"TAB";"UNIDAD";1.0
"00094";"ACIDO ACETILSALICILICO";"TAB";"";"325 mg";0.0;"N";"N";"N";"";"TAB";"0";"ACIDO ACETILSALICILICO";"";"TAB";"UNIDAD";1.0
"00095";"ACIDO ACETILSALICILICO";"TAB";"";"500 mg";0.0;"S";"S";"S";"";"TAB";"0";"ACIDO ACETILSALICILICO";"";"TAB";"UNIDAD";1.0
"00096";"ACIDO ACETILSALICILICO";"TAB";"";"81 mg";0.0;"S";"N";"S";"";"TAB";"0";"ACIDO ACETILSALICILICO";"";"TAB";"UNIDAD";1.0
"00097";"ACETONIDO DE FLUOCINOLONA + CLIOQUINOL";"CRM";"20 g";"10 mg + 3 g/100 g";0.0;"N";"N";"N";"";"CRM";"0";"ACETONIDO DE FLUOCINOLONA + CLIOQUINOL";"20 g";"CRM";"20 g";1.0
"00098";"ACETONIDO DE FLUOCINOLONA + CLIOQUINOL";"CRM";"40 g";"10 mg + 3 g/100 g";0.0;"N";"N";"N";"";"CRM";"0";"ACETONIDO DE FLUOCINOLONA + CLIOQUINOL";"40 g";"CRM";"40 g";1.0
"00099";"ACETONIDO DE FLUOCINOLONA + NEOMICINA + NISTATINA";"UNG";"15 g";"50 mg + 250 mg + 10000000 UI/100 g";0.0;"N";"N";"N";"";"UNG";"0";"ACETONIDO DE FLUOCINOLONA + NEOMICINA + NISTATINA";"15 g";"UNG";"15 g";1.0
"00100";"ACETONIDO DE FLUOCINOLONA + NEOMICINA + NISTATINA";"UNG";"5 g";"50 mg + 250 mg + 10000000 UI/100 g";0.0;"N";"N";"N";"";"UNG";"0";"ACETONIDO DE FLUOCINOLONA + NEOMICINA + NISTATINA";"5 g";"UNG";"5 g";1.0
"00101";"ACETONIDO DE FLUOCINOLONA + NEOMICINA + NISTATINA";"CRM";"15 g";"50 mg + 350 mg + 10000000 UI/100 g";0.0;"N";"N";"N";"";"CRM";"0";"ACETONIDO DE FLUOCINOLONA + NEOMICINA + NISTATINA";"15 g";"CRM";"15 g";1.0
"00102";"ACETONIDO DE FLUOCINOLONA + NEOMICINA + NISTATINA";"CRM";"5 g";"50 mg + 350 mg + 10000000 UI/100 g";0.0;"N";"N";"N";"";"CRM";"0";"ACETONIDO DE FLUOCINOLONA + NEOMICINA + NISTATINA";"5 g";"CRM";"5 g";1.0
"00103";"ACETONIDO DE FLUOCINOLONA + NEOMICINA";"CRM";"20 g";"25 mg + 1 mg/100 g";0.0;"N";"N";"N";"";"CRM";"0";"ACETONIDO DE FLUOCINOLONA + NEOMICINA";"20 g";"CRM";"20 g";1.0
"00104";"ACETONIDO DE FLUOCINOLONA + NEOMICINA";"CRM";"40 g";"25 mg + 1 mg/100 g";0.0;"N";"N";"N";"";"CRM";"0";"ACETONIDO DE FLUOCINOLONA + NEOMICINA";"40 g";"CRM";"40 g";1.0
"00105";"ACETONIDO DE FLUOCINOLONA";"CRM";"10 g";"25 mg/100 g";0.0;"N";"N";"N";"";"CRM";"0";"ACETONIDO DE FLUOCINOLONA";"10 g";"CRM";"10 g";1.0
"00106";"ACETONIDO DE FLUOCINOLONA";"CRM";"15 g";"25 mg/100 g";0.0;"N";"N";"N";"";"CRM";"0";"ACETONIDO DE FLUOCINOLONA";"15 g";"CRM";"15 g";1.0
"00107";"ACETONIDO DE FLUOCINOLONA";"CRM";"20 g";"25 mg/100 g";0.0;"N";"N";"N";"";"CRM";"0";"ACETONIDO DE FLUOCINOLONA";"20 g";"CRM";"20 g";1.0
"00108";"ACETONIDO DE FLUOCINOLONA";"CRM";"30 g";"25 mg/100 g";0.0;"N";"N";"N";"";"CRM";"0";"ACETONIDO DE FLUOCINOLONA";"30 g";"CRM";"30 g";1.0
"00109";"ACETONIDO DE FLUOCINOLONA";"CRM";"5 g";"25 mg/100 g";0.0;"N";"N";"N";"";"CRM";"0";"ACETONIDO DE FLUOCINOLONA";"5 g";"CRM";"5 g";1.0
