idsolicitud,monto,fechareg
"000007354","1.00","2020-07-11"
"000007355","1.00","2020-07-13"
"000007356","1.00","2020-07-13"
"000007357","1.00","2020-07-13"
"000007358","1.00","2020-07-13"
"000007359","1.00","2020-07-13"
"000007360","2.00","2020-07-13"
"000007361","1.00","2020-07-13"
"000007362","1.00","2020-07-13"
"000007363","1.00","2020-07-14"
"000007364","1.00","2020-07-14"
"000007365","1.00","2020-07-14"
"000007366","8.00","2020-07-14"
"000007367","1.00","2020-07-14"
"000007368","1.00","2020-07-14"
"000007369","1.00","2020-07-14"
"000007370","1.00","2020-07-14"
"000007371","2.00","2020-07-14"
"000007372","1.00","2020-07-14"
"000007373","1.00","2020-07-15"
"000007374","1.00","2020-07-15"
"000007375","1.00","2020-07-15"
"000007376","1.00","2020-07-15"
"000007377","1.00","2020-07-15"
"000007378","1.00","2020-07-15"
"000007379","1.00","2020-07-15"
"000007380","1.00","2020-07-15"
"000007382","1.00","2020-07-15"
"000007383","1.00","2020-07-15"
"000007384","1.00","2020-07-16"
"000007385","1.00","2020-07-16"
"000007386","1.00","2020-07-16"
"000007387","1.00","2020-07-16"
"000007388","3.00","2020-07-16"
"000007389","1.00","2020-07-16"
"000007390","1.00","2020-07-16"
"000007391","1.00","2020-07-16"
"000007393","1.00","2020-07-17"
"000007394","1.00","2020-07-17"
"000007395","1.00","2020-07-17"
"000007396","1.00","2020-07-17"
"000007397","1.00","2020-07-17"
"000007398","2.00","2020-07-17"
"000007399","2.00","2020-07-17"
"000007400","1.00","2020-07-17"
"000007401","1.00","2020-07-17"
"000007402","1.00","2020-07-18"
"000007403","1.00","2020-07-18"
"000007404","1.00","2020-07-20"
"000007405","1.00","2020-07-20"
"000007406","1.00","2020-07-20"
"000007407","2.00","2020-07-20"
"000007408","1.00","2020-07-20"
"000007409","1.00","2020-07-20"
"000007410","1.00","2020-07-20"
"000007411","1.00","2020-07-20"
"000007412","1.00","2020-07-20"
"000007413","1.00","2020-07-20"
"000007414","8.00","2020-07-20"
"000007415","1.00","2020-07-20"
"000007416","1.00","2020-07-21"
"000007417","1.00","2020-07-21"
"000007418","2.00","2020-07-21"
"000007420","3.00","2020-07-21"
"000007421","1.00","2020-07-21"
"000007422","1.00","2020-07-21"
"000007423","1.00","2020-07-21"
"000007424","1.00","2020-07-21"
"000007425","1.00","2020-07-21"
"000007426","3.00","2020-07-21"
"000007427","2.00","2020-07-22"
"000007428","1.00","2020-07-22"
"000007429","1.00","2020-07-22"
"000007430","1.00","2020-07-22"
"000007431","1.00","2020-07-22"
"000007432","1.00","2020-07-22"
"000007433","1.00","2020-07-22"
"000007434","1.00","2020-07-22"
"000007435","1.00","2020-07-22"
"000007436","1.00","2020-07-22"
"000007437","1.00","2020-07-22"
"000007438","1.00","2020-07-22"
"000007439","1.00","2020-07-22"
"000007440","1.00","2020-07-22"
"000007441","1.00","2020-07-22"
"000007442","1.00","2020-07-23"
"000007443","1.00","2020-07-23"
"000007444","1.00","2020-07-23"
"000007445","1.00","2020-07-23"
"000007446","1.00","2020-07-23"
"000007447","1.00","2020-07-23"
"000007448","1.00","2020-07-23"
"000007449","1.00","2020-07-23"
"000007450","1.00","2020-07-23"
"000007451","1.00","2020-07-24"
"000007452","1.00","2020-07-24"
"000007453","1.00","2020-07-24"
"000007454","1.00","2020-07-24"
"000007455","1.00","2020-07-24"
"000007456","2.00","2020-07-24"
"000007457","1.00","2020-07-24"
"000007458","1.00","2020-07-24"
"000007459","8.00","2020-07-25"
"000007460","1.00","2020-07-25"
"000007461","1.00","2020-07-25"
"000007462","1.00","2020-07-25"
"000007463","1.00","2020-07-25"
"000007464","3.00","2020-07-27"
"000007465","2.00","2020-07-27"
"000007466","1.00","2020-07-27"
"000007468","3.00","2020-07-27"
"000007469","1.00","2020-07-27"
"000007470","1.00","2020-07-27"
"000007471","1.00","2020-07-27"
"000007472","1.00","2020-07-27"
"000007473","1.00","2020-07-27"
"000007474","2.00","2020-07-27"
"000007475","1.00","2020-07-27"
"000007476","1.00","2020-07-27"
"000007477","2.00","2020-07-29"
"000007478","1.00","2020-07-29"
"000007479","1.00","2020-07-29"
"000007480","1.00","2020-07-29"
"000007481","1.00","2020-07-29"
"000007482","1.00","2020-07-29"
"000007483","1.00","2020-07-29"
"000007484","2.00","2020-07-29"
"000007485","1.00","2020-07-29"
"000007486","1.00","2020-07-29"
"000007487","1.00","2020-07-29"
"000007488","2.00","2020-07-29"
"000007489","1.00","2020-07-29"
"000007490","1.00","2020-07-29"
"000007491","1.00","2020-07-29"
"000007492","1.00","2020-07-29"
"000007493","2.00","2020-07-29"
"000007494","1.00","2020-07-29"
"000007495","1.00","2020-07-30"
"000007496","1.00","2020-07-30"
"000007497","1.00","2020-07-30"
"000007498","1.00","2020-07-30"
"000007499","1.00","2020-07-30"
"000007500","1.00","2020-07-30"
"000007501","1.00","2020-07-30"
"000007502","1.00","2020-07-30"
"000007503","2.00","2020-07-30"
"000007504","1.00","2020-07-30"
"000007505","1.00","2020-07-31"
"000007506","2.00","2020-07-31"
"000007507","1.00","2020-07-31"
"000007508","1.00","2020-07-31"
"000007509","1.00","2020-07-31"
"000007510","1.00","2020-07-31"
"000007511","1.00","2020-07-31"
"000007512","1.00","2020-07-31"
"000007513","1.00","2020-07-31"
"000007514","1.00","2020-07-31"
"000007515","2.00","2020-07-31"
"000007516","1.00","2020-07-31"
"000007517","3.00","2020-07-31"
"000007518","1.00","2020-07-31"
"000007519","1.00","2020-07-31"
"000007520","1.00","2020-07-31"
"000007521","1.00","2020-07-31"
"000007522","1.00","2020-07-31"
"000007523","2.00","2020-07-31"
"000007524","8.00","2020-07-31"
"000007525","1.00","2020-08-01"
"000007526","1.00","2020-08-01"
"000007527","1.00","2020-08-01"
"000007528","2.00","2020-08-01"
"000007529","1.00","2020-08-01"
"000007530","1.00","2020-08-03"
"000007531","1.00","2020-08-03"
"000007532","1.00","2020-08-03"
"000007533","1.00","2020-08-03"
"000007534","1.00","2020-08-03"
"000007535","1.00","2020-08-03"
"000007536","1.00","2020-08-03"
"000007537","1.00","2020-08-03"
"000007539","1.00","2020-08-03"
"000007540","1.00","2020-08-04"
"000007541","1.00","2020-08-04"
"000007542","2.00","2020-08-04"
"000007543","1.00","2020-08-04"
"000007544","1.00","2020-08-04"
"000007545","1.00","2020-08-04"
"000007546","2.00","2020-08-04"
"000007547","1.00","2020-08-04"
"000007548","1.00","2020-08-04"
"000007549","1.00","2020-08-04"
"000007550","1.00","2020-08-04"
"000007551","1.00","2020-08-05"
"000007552","8.00","2020-08-05"
"000007553","1.00","2020-08-05"
"000007554","1.00","2020-08-05"
"000007555","1.00","2020-08-05"
"000007556","1.00","2020-08-05"
"000007557","1.00","2020-08-05"
"000007558","1.00","2020-08-05"
"000007559","1.00","2020-08-05"
"000007560","1.00","2020-08-06"
"000007561","1.00","2020-08-06"
"000007562","1.00","2020-08-06"
"000007563","1.00","2020-08-06"
"000007564","1.00","2020-08-06"
"000007565","1.00","2020-08-06"
"000007566","1.00","2020-08-06"
"000007567","1.00","2020-08-06"
"000007568","1.00","2020-08-06"
"000007569","1.00","2020-08-06"
"000007570","1.00","2020-08-06"
"000007571","1.00","2020-08-06"
"000007572","1.00","2020-08-07"
"000007573","1.00","2020-08-07"
"000007574","2.00","2020-08-07"
"000007575","1.00","2020-08-07"
"000007576","1.00","2020-08-07"
"000007577","1.00","2020-08-07"
"000007578","1.00","2020-08-07"
"000007579","1.00","2020-08-07"
"000007580","1.00","2020-08-07"
"000007581","1.00","2020-08-07"
"000007582","1.00","2020-08-07"
"000007583","1.00","2020-08-07"
"000007584","1.00","2020-08-07"
"000007585","1.00","2020-08-08"
"000007586","1.00","2020-08-08"
"000007587","1.00","2020-08-08"
"000007588","1.00","2020-08-08"
"000007589","1.00","2020-08-08"
"000007590","1.00","2020-08-08"
"000007591","3.00","2020-08-08"
"000007592","1.00","2020-08-08"
"000007593","1.00","2020-08-10"
"000007594","2.00","2020-08-10"
"000007595","1.00","2020-08-10"
"000007596","1.00","2020-08-10"
"000007597","2.00","2020-08-10"
"000007598","1.00","2020-08-10"
"000007599","2.00","2020-08-10"
"000007600","1.00","2020-08-10"
"000007601","1.00","2020-08-10"
"000007602","1.00","2020-08-10"
"000007603","3.00","2020-08-10"
"000007604","2.00","2020-08-10"
"000007605","1.00","2020-08-10"
"000007606","2.00","2020-08-10"
"000007607","1.00","2020-08-10"
"000007609","1.00","2020-08-11"
"000007610","1.00","2020-08-11"
"000007611","1.00","2020-08-11"
"000007612","1.00","2020-08-11"
"000007613","1.00","2020-08-11"
"000007614","1.00","2020-08-11"
"000007615","1.00","2020-08-11"
"000007616","1.00","2020-08-11"
"000007617","1.00","2020-08-11"
"000007618","1.00","2020-08-11"
"000007619","2.00","2020-08-11"
"000007620","2.00","2020-08-11"
"000007621","2.00","2020-08-11"
"000007622","1.00","2020-08-11"
"000007623","1.00","2020-08-11"
"000007624","1.00","2020-08-11"
"000007625","1.00","2020-08-11"
"000007626","1.00","2020-08-12"
"000007627","1.00","2020-08-12"
"000007628","1.00","2020-08-12"
"000007629","1.00","2020-08-12"
"000007630","1.00","2020-08-12"
"000007631","1.00","2020-08-12"
"000007632","1.00","2020-08-12"
"000007633","1.00","2020-08-12"
"000007634","1.00","2020-08-12"
"000007635","1.00","2020-08-12"
"000007636","1.00","2020-08-12"
"000007637","1.00","2020-08-12"
"000007638","1.00","2020-08-12"
"000007639","1.00","2020-08-12"
"000007640","4.00","2020-08-12"
"000007641","1.00","2020-08-12"
"000007642","1.00","2020-08-12"
"000007643","1.00","2020-08-12"
"000007644","1.00","2020-08-13"
"000007645","1.00","2020-08-13"
"000007646","1.00","2020-08-13"
"000007647","1.00","2020-08-13"
"000007648","1.00","2020-08-13"
"000007649","1.00","2020-08-14"
"000007650","2.00","2020-08-14"
"000007651","1.00","2020-08-14"
"000007652","1.00","2020-08-14"
"000007653","1.00","2020-08-14"
"000007654","1.00","2020-08-14"
"000007655","1.00","2020-08-14"
"000007656","1.00","2020-08-14"
"000007657","1.00","2020-08-14"
"000007658","2.00","2020-08-14"
"000007659","1.00","2020-08-14"
"000007660","1.00","2020-08-14"
"000007661","4.00","2020-08-14"
"000007662","1.00","2020-08-14"
"000007663","1.00","2020-08-14"
"000007665","1.00","2020-08-14"
"000007666","1.00","2020-08-14"
"000007667","1.00","2020-08-15"
"000007668","1.00","2020-08-15"
"000007669","1.00","2020-08-15"
"000007670","1.00","2020-08-15"
"000007671","1.00","2020-08-15"
"000007672","1.00","2020-08-17"
"000007673","1.00","2020-08-17"
"000007674","2.00","2020-08-17"
"000007675","1.00","2020-08-17"
"000007676","1.00","2020-08-17"
"000007677","1.00","2020-08-17"
"000007678","1.00","2020-08-17"
"000007679","1.00","2020-08-17"
"000007680","1.00","2020-08-17"
"000007681","1.00","2020-08-17"
"000007682","1.00","2020-08-17"
"000007683","1.00","2020-08-17"
"000007684","1.00","2020-08-17"
"000007685","1.00","2020-08-17"
"000007686","1.00","2020-08-17"
"000007687","2.00","2020-08-18"
"000007688","1.00","2020-08-18"
"000007689","1.00","2020-08-18"
"000007690","2.00","2020-08-18"
"000007691","1.00","2020-08-18"
"000007692","1.00","2020-08-18"
"000007695","1.00","2020-08-18"
"000007696","1.00","2020-08-18"
"000007697","1.00","2020-08-18"
"000007698","1.00","2020-08-18"
"000007699","1.00","2020-08-18"
"000007700","1.00","2020-08-18"
"000007702","2.00","2020-08-18"
"000007703","1.00","2020-08-18"
"000007704","1.00","2020-08-19"
"000007705","1.00","2020-08-19"
"000007706","1.00","2020-08-19"
"000007707","1.00","2020-08-19"
"000007708","1.00","2020-08-19"
"000007709","1.00","2020-08-19"
"000007710","1.00","2020-08-19"
"000007711","1.00","2020-08-19"
"000007712","1.00","2020-08-19"
"000007713","1.00","2020-08-19"
"000007714","1.00","2020-08-19"
"000007715","1.00","2020-08-19"
"000007716","1.00","2020-08-19"
"000007717","1.00","2020-08-19"
"000007718","8.00","2020-08-19"
"000007719","1.00","2020-08-20"
"000007720","1.00","2020-08-20"
"000007721","1.00","2020-08-20"
"000007722","1.00","2020-08-20"
"000007724","1.00","2020-08-20"
"000007725","1.00","2020-08-20"
"000007726","1.00","2020-08-20"
"000007727","1.00","2020-08-20"
"000007728","1.00","2020-08-20"
"000007729","1.00","2020-08-21"
"000007730","1.00","2020-08-21"
"000007731","1.00","2020-08-21"
"000007732","1.00","2020-08-21"
"000007733","1.00","2020-08-21"
"000007734","1.00","2020-08-21"
"000007735","1.00","2020-08-21"
"000007736","1.00","2020-08-21"
"000007737","1.00","2020-08-21"
"000007738","1.00","2020-08-21"
"000007739","1.00","2020-08-21"
"000007740","1.00","2020-08-21"
"000007741","1.00","2020-08-21"
"000007742","2.00","2020-08-21"
"000007743","1.00","2020-08-21"
"000007745","1.00","2020-08-22"
"000007746","1.00","2020-08-22"
"000007747","1.00","2020-08-22"
"000007748","1.00","2020-08-22"
"000007749","1.00","2020-08-22"
"000007750","1.00","2020-08-22"
"000007751","1.00","2020-08-22"
"000007752","2.00","2020-08-22"
"000007753","1.00","2020-08-22"
"000007754","1.00","2020-08-22"
"000007755","1.00","2020-08-22"
"000007756","1.00","2020-08-22"
"000007757","2.00","2020-08-22"
"000007758","2.00","2020-08-24"
"000007759","1.00","2020-08-24"
"000007760","3.00","2020-08-24"
"000007761","2.00","2020-08-24"
"000007762","1.00","2020-08-24"
"000007763","1.00","2020-08-24"
"000007764","1.00","2020-08-24"
"000007765","4.00","2020-08-24"
"000007766","1.00","2020-08-24"
"000007767","1.00","2020-08-24"
"000007768","1.00","2020-08-24"
"000007769","1.00","2020-08-24"
"000007770","2.00","2020-08-24"
"000007771","1.00","2020-08-24"
"000007772","1.00","2020-08-24"
"000007773","1.00","2020-08-24"
"000007774","1.00","2020-08-24"
"000007775","1.00","2020-08-24"
"000007776","1.00","2020-08-24"
"000007777","1.00","2020-08-25"
"000007778","1.00","2020-08-25"
"000007779","1.00","2020-08-25"
"000007780","2.00","2020-08-25"
"000007781","1.00","2020-08-25"
"000007782","4.00","2020-08-25"
"000007783","1.00","2020-08-25"
"000007784","1.00","2020-08-25"
"000007785","1.00","2020-08-25"
"000007786","1.00","2020-08-25"
"000007787","1.00","2020-08-25"
"000007788","1.00","2020-08-25"
"000007789","1.00","2020-08-25"
"000007790","1.00","2020-08-25"
"000007791","1.00","2020-08-25"
"000007792","1.00","2020-08-25"
"000007794","1.00","2020-08-26"
"000007795","1.00","2020-08-26"
"000007796","1.00","2020-08-26"
"000007797","1.00","2020-08-26"
"000007798","1.00","2020-08-26"
"000007799","8.00","2020-08-26"
"000007800","1.00","2020-08-26"
"000007801","1.00","2020-08-26"
"000007802","1.00","2020-08-26"
"000007803","1.00","2020-08-26"
"000007804","1.00","2020-08-26"
"000007805","1.00","2020-08-26"
"000007806","1.00","2020-08-26"
"000007807","1.00","2020-08-26"
"000007808","1.00","2020-08-26"
"000007809","2.00","2020-08-26"
"000007810","8.00","2020-08-26"
"000007811","2.00","2020-08-26"
"000007812","2.00","2020-08-26"
"000007813","1.00","2020-08-26"
"000007814","1.00","2020-08-26"
"000007815","1.00","2020-08-26"
"000007816","1.00","2020-08-27"
"000007817","1.00","2020-08-27"
"000007818","1.00","2020-08-27"
"000007819","1.00","2020-08-27"
"000007820","1.00","2020-08-27"
"000007821","1.00","2020-08-27"
"000007822","1.00","2020-08-27"
"000007823","1.00","2020-08-27"
"000007824","2.00","2020-08-27"
"000007825","1.00","2020-08-27"
"000007826","3.00","2020-08-28"
"000007827","1.00","2020-08-28"
"000007828","1.00","2020-08-28"
"000007829","1.00","2020-08-28"
"000007830","1.00","2020-08-28"
"000007831","1.00","2020-08-28"
"000007832","1.00","2020-08-28"
"000007833","1.00","2020-08-28"
"000007834","1.00","2020-08-28"
"000007835","1.00","2020-08-28"
"000007836","1.00","2020-08-28"
"000007837","1.00","2020-08-28"
"000007838","1.00","2020-08-28"
"000007839","1.00","2020-08-28"
"000007840","1.00","2020-08-28"
"000007841","1.00","2020-08-28"
"000007842","1.00","2020-08-28"
"000007843","8.00","2020-08-28"
"000007844","1.00","2020-08-28"
"000007845","1.00","2020-08-28"
"000007846","1.00","2020-08-28"
"000007847","1.00","2020-08-29"
"000007848","1.00","2020-08-29"
"000007849","1.00","2020-08-29"
"000007850","4.00","2020-08-29"
"000007851","1.00","2020-08-29"
"000007852","1.00","2020-08-29"
"000007853","1.00","2020-08-29"
"000007854","1.00","2020-08-29"
"000007855","1.00","2020-08-29"
"000007856","1.00","2020-08-29"
"000007857","1.00","2020-08-29"
"000007858","1.00","2020-08-29"
"000007859","1.00","2020-08-29"
"000007860","2.00","2020-08-29"
"000007861","1.00","2020-08-29"
"000007862","2.00","2020-08-29"
"000007863","1.00","2020-08-29"
"000007864","3.00","2020-08-31"
"000007865","1.00","2020-08-31"
"000007866","2.00","2020-08-31"
"000007867","1.00","2020-08-31"
"000007868","1.00","2020-08-31"
"000007869","1.00","2020-08-31"
"000007870","1.00","2020-08-31"
"000007871","1.00","2020-08-31"
"000007872","1.00","2020-08-31"
"000007873","1.00","2020-08-31"
"000007874","2.00","2020-08-31"
"000007875","1.00","2020-08-31"
"000007876","1.00","2020-08-31"
"000007877","1.00","2020-08-31"
"000007878","1.00","2020-08-31"
"000007879","1.00","2020-08-31"
"000007880","3.00","2020-08-31"
"000007881","1.00","2020-08-31"
"000007882","1.00","2020-08-31"
"000007883","1.00","2020-08-31"
"000007884","1.00","2020-08-31"
"000007885","1.00","2020-08-31"
"000007886","1.00","2020-08-31"
"000007887","1.00","2020-08-31"
"000007888","1.00","2020-08-31"
"000007889","1.00","2020-08-31"
"000007890","1.00","2020-08-31"
"000007891","8.00","2020-08-31"
"000007892","1.00","2020-08-31"
"000007893","1.00","2020-08-31"
"000007894","2.00","2020-09-01"
"000007895","1.00","2020-09-01"
"000007896","1.00","2020-09-01"
"000007897","1.00","2020-09-01"
"000007898","1.00","2020-09-01"
"000007899","1.00","2020-09-01"
"000007900","1.00","2020-09-02"
"000007901","1.00","2020-09-02"
"000007902","1.00","2020-09-02"
"000007903","2.00","2020-09-02"
"000007904","1.00","2020-09-02"
"000007905","2.00","2020-09-02"
"000007906","1.00","2020-09-02"
"000007907","1.00","2020-09-02"
"000007908","1.00","2020-09-02"
"000007909","1.00","2020-09-02"
"000007910","1.00","2020-09-02"
"000007911","1.00","2020-09-02"
"000007912","2.00","2020-09-02"
"000007913","1.00","2020-09-02"
"000007914","1.00","2020-09-02"
"000007915","1.00","2020-09-02"
"000007916","2.00","2020-09-03"
"000007917","1.00","2020-09-03"
"000007918","1.00","2020-09-03"
"000007920","1.00","2020-09-03"
"000007921","1.00","2020-09-03"
"000007922","1.00","2020-09-03"
"000007923","1.00","2020-09-03"
"000007924","2.00","2020-09-03"
"000007925","1.00","2020-09-03"
"000007926","1.00","2020-09-03"
"000007928","1.00","2020-09-03"
"000007929","1.00","2020-09-03"
"000007930","1.00","2020-09-03"
"000007931","1.00","2020-09-03"
"000007932","1.00","2020-09-03"
"000007933","1.00","2020-09-03"
"000007934","1.00","2020-09-04"
"000007935","1.00","2020-09-04"
"000007937","1.00","2020-09-04"
"000007938","1.00","2020-09-04"
"000007939","3.00","2020-09-04"
"000007940","1.00","2020-09-04"
"000007941","1.00","2020-09-04"
"000007942","1.00","2020-09-04"
"000007944","1.00","2020-09-04"
"000007945","1.00","2020-09-04"
"000007946","1.00","2020-09-04"
"000007947","2.00","2020-09-05"
"000007948","1.00","2020-09-05"
"000007949","1.00","2020-09-05"
"000007950","1.00","2020-09-05"
"000007951","1.00","2020-09-05"
"000007952","1.00","2020-09-05"
"000007953","3.00","2020-09-05"
"000007954","1.00","2020-09-05"
"000007955","1.00","2020-09-05"
"000007956","1.00","2020-09-05"
"000007957","1.00","2020-09-05"
"000007958","2.00","2020-09-05"
"000007959","1.00","2020-09-05"
"000007960","1.00","2020-09-05"
"000007961","2.00","2020-09-07"
"000007962","1.00","2020-09-07"
"000007963","2.00","2020-09-07"
"000007964","3.00","2020-09-07"
"000007965","1.00","2020-09-07"
"000007966","1.00","2020-09-07"
"000007967","1.00","2020-09-07"
"000007968","1.00","2020-09-07"
"000007969","1.00","2020-09-07"
"000007970","3.00","2020-09-07"
"000007971","1.00","2020-09-07"
"000007972","3.00","2020-09-07"
"000007973","1.00","2020-09-07"
"000007974","1.00","2020-09-07"
"000007975","8.00","2020-09-07"
"000007976","1.00","2020-09-07"
"000007977","1.00","2020-09-07"
"000007978","1.00","2020-09-07"
"000007979","1.00","2020-09-07"
"000007980","2.00","2020-09-07"
"000007981","1.00","2020-09-07"
"000007982","2.00","2020-09-07"
"000007983","1.00","2020-09-07"
"000007984","1.00","2020-09-07"
"000007985","1.00","2020-09-07"
"000007986","1.00","2020-09-07"
"000007987","1.00","2020-09-07"
"000007988","1.00","2020-09-07"
