"PRCD_ID_PROCEDIMIENTO";"PRCD_V_CODPRO_MINSA";"PRCD_V_CODPROCEDIMIENTO";"PRCD_V_DESPROCEDIMIENTO";"PRCD_I_ESTADO";"PRCD_D_FECBAJA";"PRCD_V_CODSEG";"PRCD_V_CODGRU";"PRCD_V_CODSUB";"PRCD_V_DOCUMENTO";"PRCD_I_IDUSUARIOCREA";"PRCD_D_FECCREA";"PRCD_V_DOCUMENTOCREA";"PRCD_I_IDUSUARIOACT";"PRCD_D_FECACT";"PRCD_V_DOCUMENTOACT";"PRCD_B_FLAGREGISTROELIMINADO";"PRCD_C_CONDICION";"PRCD_V_TIPORESULTADO";"PRCD_V_CODPROCEDIMEQUIVALEN"
15;"";".07.02.01.01.03";"A. C.B.E. (10-14 años) Mas de 3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
16;"";".07.02.01.01.01";"A. C.B.E. (10-14 años) Menos de 1 hora";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
17;"";".07.02.01.02.02";"A. C.B.E.(15-17 años) 1-3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
18;"";".07.02.01.02.03";"A. C.B.E.(15-17 años) Mas de 3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
19;"";".07.02.01.02.01";"A. C.B.E.(15-17 años) Menos de 1 hora";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
20;"";".07.02.02.03.02";"A. C.B.R.P.B. (15-17 años) 1-3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
21;"";".07.02.02.03.03";"A. C.B.R.P.B. (15-17 años) Mas de 3 hr";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
22;"";".07.02.02.03.01";"A. C.B.R.P.B. (15-17 años) Menos de 1";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
23;"";".07.01.01.02.02";"A. G. I. (5-9años) 1-3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
24;"";".07.01.01.02.03";"A. G. I. (5-9años) Mas de 3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
25;"";".07.01.01.02.01";"A. G. I. (5-9años) Menos de 1 hora";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
26;"";".07.01.02.01.02";"A.G.E. (3-4 años) 1-3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
27;"";".07.01.02.01.03";"A.G.E. (3-4 años) Mas de 3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
28;"";".07.01.02.01.01";"A.G.E. (3-4 años) Menos de 1 hora";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
29;"";".07.01.02.03.02";"A.G.E.(10-14 años) 1-3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
30;"";".07.01.02.03.03";"A.G.E.(10-14 años) Mas de 3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
31;"";".07.01.02.03.01";"A.G.E.(10-14 años) Menos de 1 hora";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
32;"";".07.01.02.04.02";"A.G.E.(15-17) 1-3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
33;"";".07.01.02.04.03";"A.G.E.(15-17) Mas de 3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
34;"";".07.01.02.04.01";"A.G.E.(15-17) Menos de 1 hora";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
35;"";".07.01.02.02.02";"A.G.E.(5-9 años) 1-3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
36;"";".07.01.02.02.03";"A.G.E.(5-9 años) Mas de 3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
37;"";".07.01.02.02.01";"A.G.E.(5-9 años) Menos de 1 hora";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
38;"";".07.01.01.03.02";"A.G.I. (10-14 años) 1-3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
39;"";".07.01.01.03.03";"A.G.I. (10-14 años) Mas de 3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
40;"";".07.01.01.03.01";"A.G.I. (10-14 años) Menos de 1 hora";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
41;"";".07.01.01.04.02";"A.G.I. (15-17 años) 1-3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
42;"";".07.01.01.04.03";"A.G.I. (15-17 años) Mas de 3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
43;"";".07.01.01.04.01";"A.G.I. (15-17 años) Menos de 1 hora";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
44;"";".07.01.01.01.02";"A.G.I.(3-4años) 1-3 hras";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
45;"";".07.01.01.01.03";"A.G.I.(3-4años) Mas de 3 horas";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
46;"";".07.01.01.01.01";"A.G.I.(3-4años) Menos de 1 hora";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
47;"77500";"77500";"ACELERADOR LINEAL (1 SESION)";"0";"";"";"03";"3E";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
48;"82024";"82024";"ACTH, dosaje";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
49;"";".02.01.03.09.00";"ADA";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
50;"82020";"82020";"ADA (Adenosinadeaminasa)";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
51;"82105";"82105";"AFP (alfa fetoproteina)";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
52;"87161";"87161";"ANAEROBICOS";"0";"";"";"01";"12";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
53;"";".03.02.01.01.00";"Abdómen inferior";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
54;"";".03.01.05.02.00";"Abdómen simple- de cúbito y de pie";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
55;"74020";"74020";"Abdómen simple- de cúbito y de pie completo";"0";"";"";"02";"21";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
56;"";".03.02.01.03.00";"Abdómen superior";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
57;"33250";"33250";"Ablación quirúrgica de foco o vía arritmogénica";"0";"";"";"04";"49";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
58;"63064";"63064";"Abordaje costovertebral con descompresión de médula espinal, cola de caballo y/o raíces nerviosas";"0";"";"";"04";"44";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
59;"61575";"61575";"Abordaje transoral de base de cráneo, tronco encefálico o médula espinal alta para biopsia, descompresión o excisión de lesiones";"0";"";"";"04";"44";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
60;"63055";"63055";"Abordaje transpedicular con descompresión de médula espinal, cola de caballo y/o raíces nerviosas";"0";"";"";"04";"44";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
61;"27120";"27120";"Acetabuloplastía";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
62;"82003";"82003";"Acetaminofén";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
63;"82135";"82135";"Acido delta amino levulínico";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
64;"82746";"82746";"Acido fólico";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
65;"80164";"80164";"Acido valproico";"0";"";"";"01";"19";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
66;"84585";"84585";"Acido vanil mandélico";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
67;"84550";"84550";"Acido úrico  en sangre";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
68;"84560";"84560";"Acido úrico en orina";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
69;"26477";"26477";"Acortamiento de tendón extensor o flexor de mano o dedo";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
70;"23130";"23130";"Acromioplastía o acromionectomía, parcial";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
71;"42830";"42830";"Adenoidectomía";"0";"";"";"04";"41";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
72;"86603";"86603";"Adenovirus, anticuerpos";"0";"";"";"01";"14";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
73;"90471";"90471";"Administración de inmunización (incluye inyecciones percutáneas, intradérmicas, subcutáneas, intramusculares y/o administración intranasal u oral)";"0";"";"";"03";"30";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
74;"60540";"60540";"Adrenalectomía parcial o completa";"0";"";"";"04";"4B";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
75;"";"56321";"Adrenalectomía parcial o total por vía laparoscópica";"0";"";"";"04";"4B";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
76;"94664";"94664";"Aerosolterapia, sesión en emergencia";"0";"";"";"03";"31";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
77;"11300";"11300";"Afeitado de lesión epidérmica o dérmica";"0";"";"";"03";"32";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
78;"";"36520";"Aféresis terapéutica (intercambio de plasma y/o de células)";"0";"";"";"03";"37";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
79;"87350";"87350";"Ag HBe";"0";"";"";"01";"14";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
80;"";"87340b";"Ag HBs (Prueba rápida)";"0";"";"";"01";"14";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
81;"";".02.04.01.03.00";"Aglutinaciones Lámina";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
82;"86000";"86000";"Aglutinaciones tiphy, paratiphy o Brucella";"0";"";"";"01";"14";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
83;"70190";"70190";"Agujeros ópticos (2 placas)";"0";"";"";"02";"21";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
84;"";".04.02.04.02.00";"Ajuste oclusal";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
85;"42226";"42226";"Alargamiento de paladar";"0";"";"";"04";"41";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
86;"27393";"27393";"Alargamiento de tendón de la corva";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
87;"24305";"24305";"Alargamiento de tendón en brazo o codo";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
88;"26476";"26476";"Alargamiento de tendón extensor o flexor de mano o dedo";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
89;"27685";"27685";"Alargamiento o acortamiento de tendón de pierna o tobillo";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
90;"25280";"25280";"Alargamiento o acortamiento de tendón flexor o extensor de antebrazo o muñeca";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
91;"82040";"82040";"Albúmina sérica";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
92;"82085";"82085";"Aldolasa";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
93;"82088";"82088";"Aldosterona";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
94;"82103";"82103";"Alfa 1 antitripsina";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
95;"41830";"41830";"Alveolectomía, incluyendo legrado de osteítis o secuestrectomía";"0";"";"";"04";"41";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
96;"";"41840";"Alveoloplastías";"0";"";"";"04";"41";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
97;"42820";"42820";"Amigdalectomía c/s adenoidectomía";"0";"";"";"04";"41";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
98;"";".06.03.06.03.00";"Amigdalectomía con adenoidectomía";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
99;"80150";"80150";"Amikacina";"0";"";"";"01";"19";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
100;"";".02.01.02.05.00";"Amilasa";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
101;"82150";"82150";"Amilasa sérica";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
102;"59000";"59000";"Amniocentesis";"0";"";"";"03";"35";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
103;"82140";"82140";"Amonio";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
104;"24900";"24900";"Amputación a nivel de brazo a través del húmero";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
105;"26951";"26951";"Amputación a nivel de dedos de mano";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
106;"27888";"27888";"Amputación a nivel de los maleolos de la tibia y peroné";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
107;"26910";"26910";"Amputación a nivel de mano";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
108;"27590";"27590";"Amputación a nivel de muslo";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
109;"27880";"27880";"Amputación a nivel de tibia y peroné";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
110;"54125";"54125";"Amputación completa de pene";"0";"";"";"04";"47";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
111;"25900";"25900";"Amputación de antebrazo a través de radio y cúbito";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
112;"28820";"28820";"Amputación de dedo";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
113;"69110";"69110";"Amputación de pabellón auricular";"0";"";"";"04";"46";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
114;"28800";"28800";"Amputación de pie";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
115;"27290";"27290";"Amputación interpelviabdominal (amputación de cuarto trasero)";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
116;"23900";"23900";"Amputación intertóracoescapular (cuarto delantero)";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
117;"54120";"54120";"Amputación parcial de pene";"0";"";"";"04";"47";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
118;"54130";"54130";"Amputación radical de pene";"0";"";"";"04";"47";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
119;"25927";"25927";"Amputación transmetacarpal";"0";"";"";"04";"43";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
120;"";"00096";"Analgesia Neurolisis";"0";"";"";"03";"30";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
121;"";"00095";"Analgesia bloqueo";"0";"";"";"03";"30";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
122;"";"00105";"Analgesia epidural para parto normal";"0";"";"";"03";"30";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
123;"61711";"61711";"Anastomosis arterial, arterias extracraneal-intracraneal";"0";"";"";"04";"44";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
124;"36821";"36821";"Anastomosis arteriovenosa directa";"0";"";"";"04";"49";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
125;"47760";"47760";"Anastomosis de conductos biliares extrahepáticos y tracto gastrointestinal";"0";"";"";"04";"41";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
126;"47765";"47765";"Anastomosis de conductos intrahepáticos y tracto gastrointestinal";"0";"";"";"04";"41";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
127;"64866";"64866";"Anastomosis facial-espinal accesorio, facial-hipogloso, facial-frénico";"0";"";"";"04";"44";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
128;"48520";"48520";"Anastomosis interna de quiste pancreático al tracto gastrointestinal";"0";"";"";"04";"41";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
129;"48180";"48180";"Anastomosis pancreático digestivas";"0";"";"";"04";"41";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
130;"37140";"37140";"Anastomosis porto-cava u otras porto-sistémicas";"0";"";"";"04";"49";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
131;"58750";"58750";"Anastomosis tubotubaria";"0";"";"";"04";"40";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
132;"34530";"34530";"Anastomosis venosa safenopoplítea";"0";"";"";"04";"49";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
133;"37160";"37160";"Anastomosis venosas intraabdominales";"0";"";"";"04";"49";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
134;"82157";"82157";"Androstenediona";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
135;"00106";"00106";"Anestesia en el servicio de radiología para procedimientos invasivos";"0";"";"";"03";"30";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
136;"";"00107";"Anestesia endovenosa para realizar procedimientos fuera de Sala de Operaciones";"0";"";"";"03";"30";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
137;"82145";"82145";"Anfetamina o metanfetamina";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
138;"";".03.04.01.14.00";"Angiocardiografía";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
139;"92235";"92235";"Angiofluoresceinografía";"0";"";"";"03";"38";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
140;"35450";"35450";"Angioplastía con balón transluminal abierta";"0";"";"";"04";"49";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
141;"35470";"35470";"Angioplastía con balón transluminal percutánea";"0";"";"";"04";"49";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
142;"92982";"92982";"Angioplastía coronaria - revascularización miocardiaca";"0";"";"";"03";"33";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
143;"82163";"82163";"Angiotensina II";"0";"";"";"01";"11";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
144;"46700";"46700";"Anoplastía";"0";"";"";"04";"41";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
145;"46600";"46600";"Anoscopia";"0";"";"";"03";"34";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
146;"73090";"73090";"Antebrazo (2 placas)";"0";"";"";"02";"21";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
147;"86225";"86225";"Anti DNA (ss)";"0";"";"";"01";"14";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
148;"86226";"86226";"Anti DNA Nativo (ds)";"0";"";"";"01";"14";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
149;"86147";"86147";"Anticardiolipina";"0";"";"";"01";"14";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
150;"86038";"86038";"Anticuerpos anti-nucleares (AAN)";"0";"";"";"01";"14";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
151;"86235";"86235";"Anticuerpos contra antígeno nuclear (RNP, SS-A, SS-B, Sm)";"0";"";"";"01";"14";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
152;"86337";"86337";"Anticuerpos contra la insulina";"0";"";"";"01";"14";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
153;"86060";"86060";"Antiestreptolisina O (ASTO)";"0";"";"";"01";"14";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
154;"69501";"69501";"Antrotomía transmastoidea";"0";"";"";"04";"46";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
155;"";".03.04.01.01.00";"Aortografía";"1";"";"";"00";"00";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
156;"75625";"75625";"Aortografía abdominal";"0";"";"";"02";"21";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
157;"75600";"75600";"Aortografía torácica";"0";"";"";"02";"21";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
158;"33417";"33417";"Aortoplastía por estenosis supravalvular";"0";"";"";"04";"49";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
159;"44950";"44950";"Apendicectomía";"0";"";"";"04";"41";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
160;"44955";"44955";"Apendicectomía con drenaje";"0";"";"";"04";"41";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
161;"44960";"44960";"Apendicectomía con lavado de cavidad c/s drenaje";"0";"";"";"04";"41";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
162;"";"56315";"Apendicectomía por vía laparoscópica";"0";"";"";"04";"41";"-";1;"2014-04-14";"-";0;"";"-";0;"E";"V";""
163;"50845";"50845";"Apendico-vesicostomía cutánea";"0";"";"";"04";"4A";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
164;"69530";"69530";"Apicectomía pétrea, incluyendo mastoidectomía radical";"0";"";"";"04";"46";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
165;"15350";"15350";"Aplicación de aloinjerto de piel";"0";"";"";"04";"42";"-";1;"2014-04-14";"-";1;"2018-04-04";"-";0;"E";"V";""
