"18";"11650";"Plastía de cicatrices simples";"12.08";"12.11"
"19";"11655";"Plastía de cicatrices complicadas";"35.21";"36.09"
"20";"11740";"Evacuación de hematoma subungueal";"21.11";"21.14"
"21";"11750";"Excisión de uña y matriz ungueal, parcial o completa (ejm. uña deformada)";"21.11";"21.14"
"22";"11770";"Excisión de quiste o seno pilonidal";"21.11";"21.14"
"23";"11975";"Inserción de medicamentos o dispositivos de liberación";"3.64";"3.65"
"24";"11976";"Remoción de medicamentos o dispositivo de liberación";"2.92";"2.94"
"25";"11977";"Remoción y reinserción de medicamentos o dispositivos de liberación";"3.65";"3.65"
"26";"12001";"Sutura simple de heridas superficiales 2.5 cm o menos";"11.72";"11.73"
"27";"12002";"Corrección simple de heridas superficiales";"11.96";"11.98"
"28";"12005";"Sutura simple de heridas superficiales, mayor de 10 cm";"18.13";"18.13"
"29";"12031";"Cierre en capas de heridas 2.5 cm o menos";"11.84";"11.86"
"30";"12032";"Cierre en capas de heridas, menor o igual a 10 cm";"17.37";"17.4"
"31";"12035";"Cierre en capas de heridas, mayor de 10 cm";"19.07";"19.1"
"32";"13100";"Corrección compleja de heridas";"126.81";"127"
"33";"13160";"Cierre secundario de herida quirúrgica o dehiscencia, amplia o complicada";"267.26";"267.43"
"34";"14000";"Injerto de piel pediculado";"349.64";"349.76"
"35";"15000";"Preparación quirúrgica o creación de sitio receptor";"197.32";"197.32"
"36";"15050";"Injerto de piel libre";"262.67";"262.77"
"37";"15350";"Aplicación de aloinjerto de piel";"243.43";"243.53"
"38";"15400";"Aplicación de injerto heterólogo de piel";"197.1";"197.21"
"39";"15780";"Dermoabrasión toda la cara";"345.23";"345.31"
"40";"15819";"Cervicoplastía";"181.91";"182.29"
"41";"15820";"Blefaroplastía";"126.81";"127"
"42";"15822";"Blefaroplastía, párpado superior";"129.32";"129.58"
"43";"15824";"Ritidectomía";"134.35";"134.73"
"44";"15850";"Retiro de puntos bajo anestesia (que no sea anestesia local)";"25.12";"25.16"
"45";"15851";"Retiro de puntos";"4.85";"4.86"
"46";"15852";"Cambio de apósitos y curaciones bajo anestesia";"25.66";"25.66"
"47";"15876";"Lipectomía por aspiración";"190.44";"190.59"
"48";"15878";"Curación de heridas pequeñas, menor de 5 cms";"23.43";"23.45"
"49";"15920";"Excisión de úlcera de decúbito";"262.67";"262.77"
"50";"15933";"Excisión de úlcera de decúbito, con ostectomía";"275.31";"275.5"
"51";"15990";"Debridamiento de úlcera de decúbito sin excisión";"23.91";"23.95"
"52";"15999";"Escarectomía";"124.29";"124.43"
"53";"16000";"Tratamiento local de quemadura de primer grado";"23.67";"23.7"
"54";"16010";"Debridamiento y/o limpieza quirúrgica de quemaduras bajo anestesia";"72.52";"72.53"
"55";"16035";"Escarotomía";"124.29";"124.43"
"56";"17000";"Destrucción de lesiones benignas o premalignas, cualquier método";"24.92";"24.93"
"57";"17250";"Cauterización química de tejido de granulación";"24.44";"24.47"
"58";"17260";"Destrucción de lesión maligna, cualquier método";"24.93";"24.93"
"59";"17304";"Quimiocirugía (técnica microquirúrgica de Moh)";"42.36";"42.39"
"60";"17340";"Crioterapia para Acné";"21.11";"21.11"
"61";"17360";"Exfoliación Química de Acné";"21.59";"21.6"
"62";"19000";"Punción con aguja fina de quiste de mama";"40.31";"40.34"
"63";"19100";"Biopsia de mama, aguja trócar";"42.58";"42.7"
"64";"19101";"Biopsia de mama a cielo abierto";"90.36";"91.1"
"65";"19102";"Biopsia percutánea de mama con imágenes";"79.5";"79.69"
"66";"19120";"Resección quirúrgica nódulo palpable";"80.28";"80.5"
"67";"19140";"Mastectomía por Ginecomastia";"345.67";"345.78"
"68";"19160";"Mastectomía, parcial";"345.67";"345.78"
"69";"19162";"Mastectomía parcial con Linfadenectomía axilar";"349.83";"349.98"
"70";"19180";"Mastectomía, simple, completa";"381.37";"381.59"
"71";"19200";"Mastectomía, radical, incluyendo músculos pectorales, ganglios linfáticos axilares";"0";"395.59"
"72";"19220";"Mastectomía, radical incluyendo músculos pectorales, ganglios linfáticos axilares y mamarios internos";"0";"420.97"
"73";"19260";"Excisión de tumor de la pared torácica, incluyendo costillas, sin Linfadenectomía Mediastínica";"373.63";"373.85"
"74";"19272";"Excisión de tumor de la pared torácica, incluyendo costillas, con Linfadenectomía Mediastínica";"0";"374.46"
"75";"19316";"Mastopexia";"0";"351.44"
"76";"19318";"Mamoplastía de reducción";"0";"450.69"
"77";"19324";"Mamoplastía de aumento sin implante de prótesis";"0";"425.88"
"78";"19328";"Remoción de implante mamario intacto";"207.35";"207.47"
"79";"19350";"Reconstrucción de pezón/aréola";"216.07";"216.2"
"80";"19355";"Corrección de pezón invertido";"77.76";"77.88"
"81";"19357";"Reconstrucción de mama con expansores tisulares";"0";"392.8"
"82";"19361";"Reconstrución de mama con colgajo miocutáneo, con o sin implante de prótesis";"0";"450.69"
"83";"19364";"Reconstrucción de mama con colgajo libre";"0";"437.17"
"84";"19366";"Reconstrucción de mama con otra técnica";"0";"401.07"
"85";"19370";"Capsulotomía periprótesis de mama";"357.57";"357.72"
"86";"19380";"Revisión de reconstrucción de mama";"345.67";"345.78"
"87";"20100";"Exploración de herida penetrante";"254.48";"254.56"
"88";"20200";"Biopsia de músculo";"19.75";"19.81"
"89";"20220";"Biopsia de hueso";"19.75";"19.81"
"90";"20520";"Extirpación de cuerpo extraño en músculo o vaina tendinosa";"53.39";"53.51"
"91";"20600";"Artrocentesis y/o infiltración";"29.96";"29.97"
"92";"20605";"Artrocentesis en articulaciones medianas, bolsa sinovial o ganglio (temporomandibular, acromioclavicular, muñeca, codo o tobillo, bolsa del olécranon)";"30.08";"30.1"
"93";"20610";"Artrocentesis en articulación grande o bolsa (hombro, cadera, articulación de la rodilla, bolsa subacromial)";"30.26";"30.28"
"94";"20615";"Aspiración e inyección para tratamiento de quiste óseo";"21.12";"21.12"
"95";"20650";"Tracción esquelética";"73.83";"73.97"
"96";"20670";"Remoción de implante superficial";"14.75";"14.78"
"97";"20680";"Remoción de implante profundo (p. ejm. alambre intraóseo, clavija, tornillo, banda metálica, clavo, varilla o placa)";"169.71";"169.82"
"98";"20690";"Aplicación de sistema de fijación en un sólo plano (clavijas o alambres)";"187.29";"187.37"
"99";"20692";"Aplicación de sistema de fijación en varios planos";"188.55";"188.66"
"100";"20694";"Remoción, bajo anestesia, del sistema de fijación externa";"204.68";"204.8"
"101";"20802";"Reimplante de brazo";"0";"557.74"
"102";"20805";"Reimplante de antebrazo";"0";"557.74"
"103";"20808";"Reimplante de mano";"0";"557.74"
"104";"20816";"Reimplante de dedo, excluyendo dedo pulgar";"0";"376.25"
"105";"20824";"Reimplante de dedo pulgar";"0";"401.07"
"106";"20838";"Reimplante de pie, amputación completa";"0";"376.25"
"107";"20900";"Injerto óseo cualquier zona donante";"0";"363.85"
"108";"20910";"Injerto cartilaginoso, fascia lata, tendón";"0";"363.85"
"109";"20926";"Injertos de otros tejidos (paratendón, grasa, dermis)";"311.52";"311.85"
"110";"20950";"Control de la presión de líquido intersticial en la detección de Síndrome Compartimental Muscular";"71.97";"72.06"
"111";"21010";"Artrotomía de articulación témporomandibular";"342.68";"342.92"
"112";"21015";"Resección radical de tumor de tejido blando de cara o cuero cabelludo";"381.37";"381.59"
"113";"21025";"Excisión de huesos, mandíbula (osteomielitis o absceso óseo)";"381.37";"381.59"
"114";"21031";"Excisión de abultamiento mandibular o palatino maxilar";"243.8";"244"
"115";"21034";"Excisión de tumor maligno de huesos faciales distinto de la mandíbula";"0";"368.51"
"116";"21045";"Resección radical de tumor maligno de mandíbula";"0";"384.52"
"117";"21050";"Condilectomía, articulación témporomandibular";"381.37";"381.59"
"118";"21060";"Meniscectomía, parcial o completa, articulación témporomandibular";"0";"384.52"
"119";"21310";"Tratamiento cerrado de fractura de huesos nasales, tabique nasal sin manipulación";"27.66";"27.86"
"120";"21325";"Tratamiento abierto de fractura nasal sin complicaciones";"126.81";"127"
"121";"21338";"Tratamiento abierto de fractura nasoetmoidal";"0";"363.85"
"122";"21343";"Tratamiento abierto de fractura de seno frontal";"0";"363.85"
"123";"21345";"Tratamiento cerrado de fractura de complejo nasomaxilar (LeFort tipo II) empleando fijación con alambre interdentario o fijación de dentadura o férula";"35.69";"35.72"
"124";"21346";"Tratamiento abierto de fractura de complejo nasomaxilar (LeFort tipo II)";"0";"368.51"
"125";"21360";"Tratamiento abierto de fractura malar deprimida, incluyendo el arco cigomático y trípode malar";"290.63";"290.84"
"126";"21385";"Tratamiento abierto de fractura ""por estallido"" de piso orbitario";"0";"370.01"
"127";"21400";"Tratamiento cerrado de fractura de órbita";"48.11";"48.18"
"128";"21406";"Tratamiento abierto de fractura de órbita";"345.67";"345.78"
"129";"21421";"Tratamiento cerrado de fractura maxilar (LeFort I)";"23.49";"23.51"
"130";"21422";"Tratamiento abierto de fractura maxilar (LeFort I)";"0";"368.51"
"131";"21431";"Tratamiento cerrado de disyunción craneofacial (LeFort III)";"58.75";"58.84"
"132";"21432";"Tratamiento abierto de disyunción craneofacial (LeFort III)";"0";"376.78"
"133";"21440";"Tratamiento cerrado de fractura del arco dentario de la mandíbula o del maxilar";"44.09";"44.14"
"134";"21445";"Tratamiento abierto de fractura del arco dentario de la mandíbula o del maxilar";"222.17";"222.39"
"135";"21454";"Tratamiento abierto de fractura mandibular con fijación externa";"381.37";"381.59"
"136";"21490";"Tratamiento abierto de luxación de articulación témporomandibular";"0";"363.85"
"137";"21495";"Tratamiento abierto de fractura del hueso hioides";"0";"222.72"
"138";"21555";"Excisión de tumor, tejido blando de cuello o tórax subcutáneo";"205.34";"205.4"
"139";"21600";"Excisión de costilla, parcial";"263.24";"263.39"
"140";"21610";"Costotransversectomía";"345.67";"345.78"
"141";"21620";"Ostectomía parcial del esternón";"381.37";"381.59"
"142";"21630";"Resección radical del esternón";"0";"376.78"
"143";"21700";"División del escaleno anterior";"188.14";"188.23"
"144";"21720";"División del esternocleidomastoideo por tortícolis";"188.55";"188.66"
"145";"21740";"Corrección reconstructiva de pecho excavado o de pecho hundido";"397.44";"397.72"
"146";"21800";"Tratamiento cerrado de fractura de costilla, cada una";"25.68";"25.77"
"147";"21805";"Tratamiento abierto de fractura de costilla sin fijación, cada una";"169.89";"169.95"
"148";"21820";"Tratamiento cerrado de fractura del esternón";"28.47";"28.65"
"149";"21825";"Tratamiento abierto de fractura del esternón con o sin fijación esquelética";"341.7";"341.81"
"150";"21930";"Excisión de tumor de tejido blando de espalda o flanco";"147.75";"148.21"
"151";"21935";"Resección radical de tumor de tejido blando de espalda o flanco";"357.57";"357.72"
"152";"22100";"Excisión parcial de elemento vertebral posterior debido a lesión ósea intrínseca, un solo segmento vertebral cervical";"349.64";"349.76"
"153";"22210";"Osteotomía de columna vertebral, abordaje posterior o posterolateral";"365.51";"365.68"
"154";"22220";"Osteotomía de columna vertebral, incluyendo disquectomía, abordaje anterior";"357.57";"357.72"
"155";"22305";"Tratamiento cerrado de fracturas de procesos vertebrales";"23.49";"23.51"
"156";"22310";"Tratamiento cerrado de fracturas y/o luxaciones de cuerpos vertebrales";"56.25";"56.34"
"157";"22318";"Tratamiento abierto y/o reducción de fracturas o dislocaduras de odontoides, abordaje anterior";"341.7";"341.81"
"158";"22325";"Tratamiento abierto y/o reducción de fracturas o luxaciones vertebrales";"357.57";"357.72"
"159";"22505";"Manipulación de columna vertebral con necesidad de anestesia";"123.86";"123.94"
"160";"22548";"Artrodesis vertebral, técnica anterior";"374.39";"375.06"
"161";"22590";"Artrodesis vertebral posterior";"374.39";"375.06"
"162";"22840";"Instrumentación espinal posterior no segmentaria";"333.96";"334.07"
"163";"22842";"Instrumentación espinal segmentaria posterior";"288.52";"289.37"
"164";"22850";"Remoción de instrumentación no segmentaria posterior";"196.5";"196.59"
"165";"22852";"Remoción de instrumentación segmentaria posterior";"196.5";"196.59"
"166";"23000";"Extirpación de depósitos calcáreos subdeltoideos (o intratendinosos), cualquier método";"251.17";"251.27"
"167";"23030";"Incisión y drenaje de absceso profundo, hematoma, o de bolsa sinovial infectada";"93.29";"93.38"
"168";"23040";"Artrotomía de articulación glenohumeral, incluyendo exploración, drenaje, extirpación de cuerpo extraño, biopsia";"263.24";"263.39"
"169";"23044";"Artrotomía acromioclavicular, esternoclavicular incluyendo exploración, drenaje, extirpación de cuerpo extraño, biopsia";"263.24";"263.39"
"170";"23077";"Resección radical de tumor (Neoplasia maligna), tejido blando de región del hombro";"0";"359.71"
"171";"23120";"Claviculectomía parcial";"345.67";"345.78"
"172";"23130";"Acromioplastía o acromionectomía, parcial, con o sin liberación del ligamento coracoacromial";"263.24";"263.39"
"173";"23140";"Excisión o legrado de quiste óseo o tumor benigno de clavícula o escápula";"177.1";"177.76"
"174";"23170";"Secuestrectomía (p. ejm. para Osteomielitis o Absceso óseo), clavícula";"259.21";"259.35"
"175";"23174";"Secuestrectomía (p. ejm. para Osteomielitis o Absceso óseo), cabeza o cuello quirúrgico del húmero";"320.02";"320.89"
"176";"23180";"Excisión parcial (craterización, saucerización, o diafisectomía) de hueso (p. ejm. Osteomielitis), clavícula";"259.21";"259.35"
"177";"23190";"Osteotomía de escápula, parcial (p. ejm. ángulo medial superior)";"296.26";"297.11"
"178";"23200";"Resección radical de tumor clavícula";"375.17";"375.77"
"179";"23220";"Resección radical de tumor óseo, húmero proximal";"357.57";"357.72"
"180";"23395";"Transferencia de músculo de hombro o brazo";"357.57";"357.72"
"181";"23405";"Tenotomía región del hombro";"251.17";"251.27"
"182";"23410";"Corrección de ruptura de manguito músculotendinoso";"263.24";"263.39"
"183";"23415";"Liberación de ligamento coracoacromial, con o sin acromioplastía";"204.68";"204.8"
"184";"23430";"Tenodesis de tendón largo del bíceps";"148.05";"148.18"
"185";"23440";"Resección o transplante del tendón largo del bíceps";"267.26";"267.43"
"186";"23450";"Capsulorrafía anterior";"349.64";"349.76"
"187";"23465";"Capsulorrafía, articulación glenohumeral, posterior, con o sin inserción de bloque óseo";"349.64";"349.76"
"188";"23470";"Artroplastía, articulación glenohumeral hemiartroplastía";"349.83";"349.98"
"189";"23480";"Osteotomía de clavícula, con o sin fijación interna";"273.74";"274.4"
"190";"23500";"Tratamiento cerrado de fractura de clavícula sin manipulación";"23.31";"23.32"
"191";"23515";"Tratamiento abierto de fractura clavicular, luxación esternoclavicular, acromioclavicular";"197.1";"197.21"
"192";"23540";"Tratamiento cerrado de luxación de hombro sin manipulación";"23.31";"23.32"
"193";"23545";"Tratamiento cerrado de dislocación acromioclavicular con manipulación";"23.49";"23.51"
"194";"23585";"Tratamiento abierto de fractura escapular";"259.21";"259.35"
"195";"23600";"Tratamiento cerrado de fractura de húmero proximal";"47.28";"47.29"
"196";"23615";"Tratamiento abierto de fractura del húmero proximal";"259.21";"259.35"
"197";"23660";"Tratamiento abierto de luxación aguda del hombro, con o sin fractura humeral, con o sin fijación interna o externa";"259.21";"259.35"
"198";"23800";"Artrodesis de hombro";"349.64";"349.76"
"199";"23900";"Amputación intertóracoescapular (cuarto delantero)";"0";"351.97"
"200";"23920";"Desarticulación de hombro";"349.83";"349.98"
"201";"24000";"Artrotomía de codo, incluyendo exploración, drenaje o extirpación de cuerpo extraño";"77.82";"77.82"
"202";"24075";"Excisión de tumor en brazo o región del codo subcutáneo";"132.51";"133.29"
"203";"24077";"Resección radical de tumor (p. ej. neoplasia maligna), tejido blando de brazo o región del codo";"0";"226.7"
"204";"24105";"Excisión, bolsa del olécranon";"122.24";"122.64"
"205";"24110";"Excisión y legrado de quiste óseo o tumor benigno, húmero";"185.1";"185.94"
"206";"24130";"Excisión, cabeza del radio";"193.1";"194.12"
"207";"24134";"Secuestrectomía de húmero distal, cabeza o cuello de radio, apófisis olecraneana";"191.58";"191.73"
"208";"24140";"Excisión parcial de húmero, cabeza o cuello de radio, apófisis olecraneana";"185.1";"185.94"
"209";"24149";"Resección radical de cápsula, tejido blando y hueso heterotópico de codo";"357.57";"357.72"
"210";"24150";"Resección radical de tumor, diáfisis o húmero distal";"357.57";"357.72"
"211";"24155";"Resección de articulación del codo (artrectomía)";"345.67";"345.78"
"212";"24200";"Extirpación de cuerpo extraño en brazo o región del codo";"76.54";"76.67"
"213";"24201";"Remoción de cuerpo extraño subfacial o intramuscular en brazo o codo";"141";"142"
"214";"24301";"Transferencia de músculo o tendón en brazo o región del codo";"357.57";"357.72"
"215";"24305";"Alargamiento de tendón en brazo o codo";"141";"142"
"216";"24310";"Tenotomía abierta, desde el codo al hombro";"174.37";"174.56"
"217";"24320";"Tenoplastía con transferencia de músculo, desde el codo al hombro";"283.36";"283.58"
"218";"24330";"Flexoplastía de codo";"185.1";"185.94"
"219";"24340";"Tenodesis del tendón de bíceps a nivel de codo";"173.61";"173.79"
"220";"24342";"Reinserción de tendón roto del bíceps o tríceps, distal";"259.21";"259.35"
"221";"24350";"Fasciotomía lateral o medial (p. ej. ""codo de tenista"" o epicondilitis)";"171.85";"171.99"
"222";"24360";"Artroplastía de codo, cabeza de radio";"278.25";"279.12"
"223";"24400";"Osteotomía de húmero";"188.12";"188.85"
"224";"24420";"Osteoplastía de húmero (p. ej. acortamiento o alargamiento)";"357.57";"357.72"
"225";"24470";"Paro hemiepifisario (p. ej. cúbito varo o valgo, húmero distal)";"232.82";"232.97"
"226";"24495";"Fasciotomía de descompresión de antebrazo";"171.85";"171.99"
"227";"24515";"Tratamiento abierto de fractura humeral diafisaria";"193.1";"194.12"
"228";"24538";"Fijación esquelética percutánea de fractura humeral";"132.51";"133.29"
"229";"24545";"Tratamiento abierto de fractura humeral supracondilar o transcondilar, sin extensión intercondilar";"232.82";"232.97"
"230";"24586";"Tratamiento abierto de fractura periarticular y/o luxación de codo (fractura del húmero distal y cúbito proximal y/o radio proximal)";"235.11";"235.31"
"231";"24600";"Tratamiento cerrado de luxación de codo, muñeca";"50.84";"50.96"
"232";"24615";"Tratamiento abierto de luxación aguda o crónica de codo";"150.56";"150.76"
"233";"24620";"Tratamiento cerrado de la fractura de Monteggia a nivel del codo";"47.46";"47.48"
"234";"24635";"Tratamiento abierto de la fractura de Monteggia a nivel del codo";"150.56";"150.76"
"235";"24665";"Tratamiento abierto de fractura de cabeza o cuello del radio";"151.82";"152.04"
"236";"24685";"Tratamiento abierto de fractura de olécranon";"150.56";"150.76"
"237";"24800";"Artrodesis, articulación de codo";"201.1";"202.31"
"238";"24900";"Amputación a nivel de brazo a través del húmero";"283.36";"283.58"
"239";"25000";"Incisión de vaina tendinosa del extensor, muñeca (p. ejm. enfermedad de Quervain)";"39.55";"39.6"
"240";"25020";"Fasciotomía descompresiva, antebrazo y/o muñeca";"243.12";"243.2"
"241";"25040";"Artrotomía de articulación radiocarpal o mediocarpal, con exploración, drenaje o extirpación de cuerpo extraño";"148.05";"148.18"
"242";"25075";"Excisión, tumor, antebrazo y/o región de la muñeca subcutáneo";"43.74";"43.8"
"243";"25077";"Resección radical de tumor (p. ejm. Neoplasia Maligna), tejido blando de antebrazo y/o región de la muñeca";"349.83";"349.98"
"244";"25085";"Capsulotomía de muñeca";"148.05";"148.18"
"245";"25105";"Artrotomía de muñeca con sinovectomía";"149.3";"149.47"
"246";"25111";"Excisión de ganglión de muñeca (dorsal o palmar)";"100.46";"100.57"
"247";"25115";"Excisión radical de bolsa tendinosa, líquido sinovial de muñeca o vaina tendinosa de antebrazo";"193.1";"194.12"
"248";"25118";"Sinovectomía, vaina de tendón extensor en muñeca";"148.05";"148.18"
"249";"25120";"Excisión o legrado de quiste óseo o tumor benigno de radio o cubito";"185.1";"185.94"
"250";"25150";"Excisión parcial de cúbito o radio";"174.37";"174.56"
"251";"25170";"Resección radical de tumor, radio o cúbito";"292.51";"293.65"
"252";"25210";"Carpectomía, un solo hueso";"189.81";"189.95"
"253";"25215";"Carpectomía de todos los huesos de la fila proximal";"233.97";"234.14"
"254";"25230";"Estiloidectomía radial";"99.13";"100.21"
"255";"25248";"Exploración con extirpación de cuerpo extraño de antebrazo o muñeca";"37.49";"38.37"
"256";"25250";"Remoción de implante";"101.54";"101.7"
"257";"25260";"Corrección de tendón o músculo de antebrazo y/o muñeca";"148.05";"148.18"
"258";"25280";"Alargamiento o acortamiento de tendón flexor o extensor de antebrazo o muñeca";"146.77";"147.8"
"259";"25290";"Tenotomía abierta de tendón flexor o extensor de antebrazo y/o muñeca";"101.54";"101.7"
"260";"25295";"Tenólisis de tendón flexor o extensor de antebrazo y/o muñeca";"132.51";"133.29"
"261";"25300";"Tenodesis a nivel de la muñeca";"185.1";"185.94"
"262";"25310";"Trasplante o transferencia de tendón de antebrazo y/o muñeca";"220.5";"220.65"
"263";"25315";"Deslizamiento del origen de los flexores de antebrazo y/o muñeca";"230.53";"230.64"
"264";"25320";"Cápsulorrafia o reconstrucción de muñeca";"232.82";"232.97"
"265";"25332";"Artroplastía de muñeca";"237.01";"237.88"
"266";"25335";"Centralización de muñeca sobre el cúbito (p. ej. mano péndula radial)";"185.1";"185.94"
"267";"25350";"Osteotomía de radio y/o cúbito";"185.1";"185.94"
"268";"25390";"Osteoplastía de radio y/o cúbito";"275.31";"275.5"
"269";"25440";"Corrección de falta de unión de hueso escafoide (navicular), con o sin estiloidectomía radial";"274.56";"274.71"
"270";"25441";"Artroplastía de muñeca con reemplazo prostético";"0";"301.6"
"271";"25449";"Revisión de artroplastía de muñeca incluyendo remoción de implantes";"232.82";"232.97"
"272";"25450";"Paro epifisario radio distal y/o cúbito";"148.05";"148.18"
"273";"25500";"Tratamiento cerrado de fractura radial o ulnar";"47.46";"47.48"
"274";"25505";"Tratamiento cerrado de fractura radial o ulnar, con manipulación";"47.7";"47.73"
"275";"25515";"Tratamiento abierto de fractura radial, incluye fijación interna";"150.56";"150.76"
"276";"25526";"Tratamiento de fractura radial y radial ulnar";"235.11";"235.31"
"277";"25574";"Tratamiento abierto de fracturas de las diáfisis del radio y cúbito, con fijación interna o externa de radio o cúbito";"153.08";"153.33"
"278";"25606";"Fijación percutánea de fractura radial";"148.05";"148.18"
"279";"25611";"Fijación esquelética percutánea de fractura distal de radio o separación epifisaria";"148.05";"148.18"
"280";"25620";"Tratamiento abierto de fractura distal de radio (p. ej. fractura de Colles o Smith) o separación epifisaria";"150.56";"150.76"
"281";"25630";"Tratamiento cerrado de fractura de hueso carpiano excepto escafoides";"24.12";"24.14"
"282";"25645";"Tratamiento abierto de fractura de hueso carpeano";"232.82";"232.97"
"283";"25676";"Tratamiento abierto de luxación radiocubital distal";"185.1";"185.94"
"284";"25800";"Artrodesis de muñeca";"231.68";"231.81"
"285";"25900";"Amputación de antebrazo a través de radio y cúbito";"233.57";"233.77"
"286";"25920";"Desarticulación a través de la muñeca";"193.1";"194.12"
"287";"25922";"Cierre secundario o revisión de cicatriz de desarticulación a través de muñeca";"281.48";"282.14"
"288";"25927";"Amputación transmetacarpal";"194.21";"194.45"
"289";"26020";"Drenaje de vaina tendinosa";"124.92";"125.07"
"290";"26025";"Drenaje de bolsa sinovial";"124.92";"125.07"
"291";"26034";"Incisión de hueso cortical de mano o dedo";"126.81";"127"
"292";"26037";"Fasciotomía descompresiva de mano";"267.57";"267.76"
"293";"26040";"Fasciotomía palmar";"221.24";"221.44"
"294";"26055";"Incisión de vaina tendinosa (p. ejm. para dedo ""en gatillo"")";"41.07";"42.14"
"295";"26070";"Artrotomía con exploración, drenaje, extirpación de cuerpo suelto o cuerpo extraño o biopsia en articulación carpometacarpiana, metacarpofalángica o interfalángica";"154.34";"154.62"
"296";"26115";"Excisión, tumor o malformación vascular, mano o dedo subcutáneo";"107.77";"108.09"
"297";"26117";"Resección radical de tumor (p. ejm. neoplasia maligna), tejido blando de mano o dedo";"239.7";"239.98"
"298";"26121";"Fasciectomía de la palma";"267.26";"267.43"
"299";"26130";"Sinovectomía de articulación carpometacarpiana, metacarpofalángica o interfalángica";"150.56";"150.76"
"300";"26145";"Sinovectomía radical de vaina tendinosa (tenosinovectomía) de tendón flexor, palma y/o dedo";"154.34";"154.62"
"301";"26185";"Sesamoidectomía dedo pulgar u otro dedo";"154.34";"154.62"
"302";"26200";"Excisión o legrado de quiste óseo o tumor benigno del metacarpo más injerto óseo";"152.45";"152.69"
"303";"26230";"Excisión parcial de metacarpo o falanges";"152.45";"152.69"
"304";"26250";"Resección radical, metacarpo (p. ejm. tumor)";"299.45";"299.73"
"305";"26320";"Extirpación de implante del dedo o mano";"104.03";"104.26"
"306";"26350";"Corrección o avance de tendón flexor de mano";"150.56";"150.76"
"307";"26370";"Corrección o avance de tendón del músculo flexor profundo de los dedos";"232.82";"232.97"
"308";"26410";"Corrección de tendón extensor de mano o dedo";"104.03";"104.26"
"309";"26437";"Realineación de tendón extensor de mano";"104.03";"104.26"
"310";"26440";"Tenólisis de tendón flexor o extensor de mano y/o dedo";"152.45";"152.69"
"311";"26450";"Tenotomía abierta de tendón flexor o extensor de mano o dedo";"104.03";"104.26"
"312";"26471";"Tenodesis de articulación interfalángica";"152.45";"152.69"
"313";"26476";"Alargamiento de tendón extensor o flexor de mano o dedo";"110.52";"110.62"
"314";"26477";"Acortamiento de tendón extensor o flexor de mano o dedo";"109.24";"109.33"
"315";"26490";"Restauración de la oposición del pulgar (""Oponenplastía"")";"323.59";"323.96"
"316";"26499";"Corrección de dedo ""en garra""";"231.68";"231.81"
"317";"26508";"Liberación de músculos tenares (p. ejm. contractura del pulgar)";"150.56";"150.76"
"318";"26516";"Cápsulodesis en articulación metacarpofalángica";"150.56";"150.76"
"319";"26520";"Capsulectomía o capsulotomía de articulación metacarpofalángica";"104.03";"104.26"
"320";"26530";"Artroplastía de articulación metacarpofalángica, interfalángica";"236.26";"236.48"
"321";"26540";"Corrección de ligamento colateral de articulación metacarpofalángica o interfalángica";"149.3";"149.47"
